run,pair,direction,status,session_name,zip,duration_s,ride_s,acc_hz,gyr_hz,dropped,gaps_gt50ms,n_gnss_fix,mean_h_acc_m,start_calib_pitch_deg,end_calib_pitch_deg,start_offset_m,end_offset_m,notes
1,,AB,EXCLUDED,20260905_030317_SNU_AJB_AB_run1,zips/_excluded/20260905_030317_SNU_AJB_AB_run1.zip,21.2,0.0,418.8,418.8,0,0,20,3.79,,66.88,,,"FALSE START: stopped 6.1s into opening calib, no RIDE_START, 0s ride"
2,1,AB,KEEP,20260905_030946_SNU_AJB_AB_run2,zips/20260905_030946_SNU_AJB_AB_run2.zip,321.5,291.4,418.8,418.8,0,0,320,3.79,43.05,26.10,4.9,22.7,USABLE RIDE but START-CALIB WINDOW INVALID: calib pitch 43.05deg vs 26.10deg at end calib and 24.6-26.8deg through the ride. Do not use its opening 15s static window for bias/attitude init.
3,1,BA,KEEP,20260905_031715_SNU_AJB_BA_run3,zips/20260905_031715_SNU_AJB_BA_run3.zip,281.1,250.9,418.8,418.8,0,0,281,3.79,22.84,23.41,26.4,2.0,
4,2,AB,KEEP,20260905_033817_SNU_AJB_AB_run4,zips/20260905_033817_SNU_AJB_AB_run4.zip,299.4,269.3,418.8,418.8,0,0,298,3.79,22.28,23.11,4.6,2.1,
5,2,BA,KEEP,20260905_034426_SNU_AJB_BA_run5,zips/20260905_034426_SNU_AJB_BA_run5.zip,310.1,280.0,418.8,418.8,0,0,309,3.79,22.55,23.03,5.9,0.4,
6,3,AB,KEEP,20260905_035107_SNU_AJB_AB_run6,zips/20260905_035107_SNU_AJB_AB_run6.zip,242.7,212.5,418.8,418.8,0,0,242,3.79,22.98,23.20,3.1,0.3,
7,,BA,EXCLUDED,20260905_035514_SNU_AJB_BA_run7,zips/_excluded/20260905_035514_SNU_AJB_BA_run7.zip,19.4,0.0,418.8,418.8,0,0,18,3.79,,23.40,,,"FALSE START: stopped 4.3s into opening calib, no RIDE_START, 0s ride"
8,3,BA,KEEP,20260905_035626_SNU_AJB_BA_run8,zips/20260905_035626_SNU_AJB_BA_run8.zip,296.5,266.4,418.8,418.8,0,0,296,3.79,22.34,23.09,2.4,1.7,
9,4,AB,KEEP,20260905_040136_SNU_AJB_AB_run9,zips/20260905_040136_SNU_AJB_AB_run9.zip,282.8,252.7,418.8,418.8,0,0,281,3.79,22.68,23.12,0.8,0.4,
10,4,BA,KEEP,20260905_041153_SNU_AJB_BA_run10,zips/20260905_041153_SNU_AJB_BA_run10.zip,265.7,235.5,418.8,418.8,0,0,264,3.79,22.57,21.49,3.5,3.2,
11,5,AB,KEEP,20260905_041811_SNU_AJB_AB_run11,zips/20260905_041811_SNU_AJB_AB_run11.zip,237.2,207.1,418.8,418.8,0,0,236,3.79,22.57,23.35,0.0,1.1,
12,5,BA,KEEP,20260905_042526_SNU_AJB_BA_run12,zips/20260905_042526_SNU_AJB_BA_run12.zip,319.2,289.1,418.8,418.8,0,0,318,3.79,22.26,22.18,3.1,2.8,
