t_ns,mx,my,mz,accuracy
28040811423862,-26.75625,-29.925001,-27.862501,3
28040821423862,-25.237501,-30.73125,-26.025002,3
28040831423862,-24.91875,-31.06875,-27.900002,3
28040841423862,-23.456251,-31.743752,-28.368752,3
28040851423862,-26.6625,-31.29375,-28.312502,3
28040861423862,-24.112501,-31.2,-29.681252,3
28040871423862,-23.925001,-31.81875,-28.612501,3
28040881423862,-25.66875,-31.66875,-27.0375,3
28040891423862,-28.2,-31.875002,-26.868752,3
28040901423862,-26.400002,-32.268753,-26.775002,3
28040911423862,-24.656252,-30.281252,-27.0375,3
28040921423862,-26.325,-31.63125,-25.725,3
28040931423862,-26.6625,-31.29375,-27.993752,3
28040941423862,-23.56875,-32.006252,-26.19375,3
28040951423862,-24.91875,-32.0625,-28.331251,3
28040961423862,-26.587502,-30.656252,-26.94375,3
28040971423862,-26.38125,-30.243752,-26.831251,3
28040981423862,-25.931252,-31.575,-27.91875,3
28040991423862,-25.35,-31.612501,-27.075,3
28041001423862,-25.968752,-33.46875,-27.243752,3
28041011423862,-24.768751,-30.16875,-27.937502,3
28041021423862,-26.081251,-29.456251,-27.0375,3
28041031423862,-25.406252,-30.993752,-26.925001,3
28041041423862,-27.243752,-30.88125,-27.018751,3
28041051423862,-26.268751,-31.368752,-26.04375,3
28041061423862,-26.906252,-30.825,-27.525002,3
28041071423862,-27.2625,-32.625,-25.893751,3
28041081423862,-27.2625,-31.63125,-25.7625,3
28041091423862,-26.60625,-31.406252,-25.687502,3
28041101423862,-25.687502,-32.41875,-25.781252,3
28041111423862,-26.531252,-31.143751,-26.475,3
28041121423862,-27.525002,-32.41875,-26.625002,3
28041131423862,-26.41875,-32.268753,-26.00625,3
28041141423862,-27.2625,-32.11875,-23.75625,3
28041151423862,-26.456251,-31.518751,-26.175001,3
28041161423862,-25.368752,-31.63125,-26.306252,3
28041171423862,-25.462502,-33.018753,-25.781252,3
28041181423862,-26.550001,-31.406252,-27.54375,3
28041191423862,-26.831251,-32.193752,-27.6375,3
28041201423862,-28.050001,-32.86875,-26.718752,3
28041211423862,-23.868752,-31.425001,-28.63125,3
28041221423862,-25.06875,-32.2125,-28.931252,3
28041231423862,-26.94375,-31.462502,-29.643751,3
28041241423862,-24.13125,-31.968752,-27.825,3
28041251423862,-25.125002,-31.218752,-27.2625,3
28041261423862,-27.4125,-30.768751,-26.550001,3
28041271423862,-25.875002,-33.693752,-26.493752,3
28041281423862,-24.618752,-31.893751,-26.831251,3
28041291423862,-25.237501,-32.11875,-27.993752,3
28041301423862,-22.650002,-30.375002,-27.112501,3
28041311423862,-24.618752,-31.893751,-26.831251,3
28041321423862,-26.268751,-32.625,-27.69375,3
28041331423862,-25.593752,-33.16875,-27.300001,3
28041341423862,-26.60625,-33.05625,-29.325,3
28041351423862,-24.431252,-32.006252,-28.3875,3
28041361423862,-25.987501,-31.331251,-25.0125,3
28041371423862,-23.25,-31.218752,-27.487501,3
28041381423862,-24.45,-32.006252,-27.768751,3
28041391423862,-26.19375,-32.86875,-26.775002,3
28041401423862,-25.406252,-32.006252,-27.056252,3
28041411423862,-25.331251,-32.362503,-26.8875,3
28041421423862,-25.1625,-32.475002,-27.825,3
28041431423862,-26.19375,-32.11875,-27.2625,3
28041441423862,-27.581251,-31.9125,-26.79375,3
28041451423862,-25.031252,-31.968752,-28.931252,3
28041461423862,-26.831251,-30.562502,-28.9125,3
28041471423862,-25.406252,-32.006252,-27.35625,3
28041481423862,-26.681252,-30.91875,-25.85625,3
28041491423862,-25.5375,-32.15625,-28.725,3
28041501423862,-25.06875,-30.956251,-27.281252,3
28041511423862,-26.531252,-32.15625,-26.906252,3
28041521423862,-27.975,-33.35625,-26.85,3
28041531423862,-24.712502,-30.91875,-28.3875,3
28041541423862,-26.775002,-32.568752,-26.41875,3
28041551423862,-26.75625,-31.81875,-27.656252,3
28041561423862,-26.362501,-31.25625,-27.73125,3
28041571423862,-25.706251,-31.406252,-24.581251,3
28041581423862,-25.81875,-31.06875,-29.025002,3
28041591423862,-24.937502,-31.06875,-27.13125,3
28041601423862,-25.5375,-30.768751,-26.75625,3
28041611423862,-24.375002,-30.618752,-27.975,3
28041621423862,-24.50625,-31.518751,-28.237501,3
28041631423862,-27.150002,-31.368752,-27.618752,3
28041641423862,-25.95,-30.825,-28.406252,3
28041651423862,-24.900002,-31.06875,-28.518751,3
28041661423862,-27.73125,-31.81875,-26.325,3
28041671423862,-25.893751,-31.312502,-27.937502,3
28041681423862,-27.281252,-31.25625,-27.768751,3
28041691423862,-26.475,-31.518751,-25.556252,3
28041701423862,-26.437502,-30.768751,-27.581251,3
28041711423862,-27.35625,-31.25625,-25.9125,3
28041721423862,-27.35625,-31.25625,-25.9125,3
28041731423862,-26.325,-32.006252,-27.862501,3
28041741423862,-28.218752,-31.63125,-25.2,3
28041751423862,-28.3875,-32.025,-26.7,3
28041761423862,-25.48125,-30.768751,-28.143751,3
28041771423862,-27.900002,-31.706251,-25.687502,3
28041781423862,-27.618752,-32.30625,-27.54375,3
28041791423862,-25.35,-32.381252,-26.118752,3
28041801423862,-28.331251,-31.518751,-25.650002,3
28041811423862,-25.368752,-30.243752,-29.250002,3
28041821423862,-26.79375,-31.81875,-26.587502,3
28041831423862,-26.41875,-31.518751,-27.243752,3
28041841423862,-26.04375,-30.468752,-28.706251,3
28041851423862,-25.63125,-31.66875,-28.406252,3
28041861423862,-27.187502,-30.862501,-28.875002,3
28041871423862,-24.88125,-31.312502,-30.056252,3
28041881423862,-25.66875,-30.16875,-29.062502,3
28041891423862,-24.225,-30.843752,-29.212502,3
28041901423862,-24.862501,-31.81875,-28.800001,3
28041911423862,-26.212502,-31.612501,-28.968752,3
28041921423862,-25.10625,-32.850002,-31.35,3
28041931423862,-24.843752,-31.800001,-29.41875,3
28041941423862,-23.362501,-31.368752,-29.456251,3
28041951423862,-23.23125,-31.85625,-30.993752,3
28041961423862,-27.056252,-30.712502,-27.656252,3
28041971423862,-24.4125,-30.993752,-28.575,3
28041981423862,-26.118752,-32.100002,-29.8875,3
28041991423862,-25.2,-31.10625,-29.250002,3
28042001423862,-24.0,-31.06875,-27.393751,3
28042011423862,-25.5375,-30.768751,-26.75625,3
28042021423862,-25.0125,-30.956251,-29.118752,3
28042031423862,-26.437502,-31.7625,-27.69375,3
28042041423862,-25.143751,-30.712502,-28.968752,3
28042051423862,-24.525002,-31.25625,-26.868752,3
28042061423862,-27.4125,-32.775,-26.79375,3
28042071423862,-27.13125,-32.11875,-27.45,3
28042081423862,-26.38125,-30.50625,-27.900002,3
28042091423862,-27.993752,-32.34375,-25.968752,3
28042101423862,-28.25625,-30.88125,-24.6,3
28042111423862,-26.85,-30.562502,-28.143751,3
28042121423862,-27.675001,-30.806252,-27.88125,3
28042131423862,-29.5125,-31.931252,-25.181252,3
28042141423862,-28.0125,-30.73125,-26.625002,3
28042151423862,-27.50625,-30.91875,-28.81875,3
28042161423862,-27.975,-29.718752,-27.581251,3
28042171423862,-29.306252,-31.031252,-26.60625,3
28042181423862,-29.04375,-29.60625,-27.45,3
28042191423862,-28.125002,-30.225,-25.3875,3
28042201423862,-29.456251,-30.4125,-28.462502,3
