t_ns,qx,qy,qz,qw,heading_acc_rad
28040821814383,0.23735553,-0.2093637,-0.7759323,0.54567224,-1.0
28040826572768,0.23574455,-0.20986466,-0.7760015,0.5460797,-1.0
28040831330841,0.23340288,-0.2101591,-0.7766697,0.5460224,-1.0
28040836088862,0.23128894,-0.20945708,-0.77534914,0.54906,-1.0
28040840846883,0.22778359,-0.20986167,-0.7767752,0.54835486,-1.0
28040845604904,0.22339167,-0.21082674,-0.78012544,0.5450252,-1.0
28040850362925,0.21936153,-0.21119988,-0.782117,0.5436618,-1.0
28040855120946,0.21610841,-0.2109651,-0.782251,0.54486173,-1.0
28040859878966,0.21251997,-0.21152315,-0.78403157,0.54349583,-1.0
28040864636987,0.2098418,-0.21169135,-0.78453517,0.5437442,-1.0
28040869395008,0.20740692,-0.21236831,-0.78574276,0.54266965,-1.0
28040874153029,0.20550668,-0.2134497,-0.78737473,0.540599,-1.0
28040878911050,0.20476846,-0.21413182,-0.7876633,0.5401888,-1.0
28040883669071,0.2044627,-0.21517386,-0.78831893,0.53893274,-1.0
28040888427091,0.20516574,-0.21587496,-0.78774536,0.53922373,-1.0
28040893185112,0.20632526,-0.2164801,-0.7868341,0.5398688,-1.0
28040897943133,0.20769855,-0.2170713,-0.78590554,0.54045707,-1.0
28040902701154,0.2088888,-0.21786386,-0.7856868,0.5399973,-1.0
28040907459175,0.21034539,-0.21830846,-0.784724,0.5406519,-1.0
28040912217196,0.21189977,-0.21850951,-0.78339314,0.5418923,-1.0
28040916975216,0.21299869,-0.21878196,-0.78264433,0.54243326,-1.0
28040921733237,0.2135309,-0.21921289,-0.78271,0.5419551,-1.0
28040926491258,0.21391372,-0.21927209,-0.7824346,0.54217786,-1.0
28040931249279,0.2139663,-0.21920577,-0.7823924,0.54224485,-1.0
28040936007300,0.21407416,-0.21871428,-0.7818538,0.5431767,-1.0
28040940765321,0.21370512,-0.21837662,-0.7821605,0.54301625,-1.0
28040945523341,0.21277116,-0.21836315,-0.78372204,0.54113376,-1.0
28040950281310,0.21224459,-0.21781111,-0.7841876,0.5408884,-1.0
28040955039383,0.21167347,-0.21723159,-0.7846948,0.5406097,-1.0
28040959797404,0.21111985,-0.21659055,-0.7851832,0.5403742,-1.0
28040964555425,0.2108006,-0.21576993,-0.7852081,0.5407908,-1.0
28040969313446,0.21038337,-0.21507305,-0.7856273,0.540622,-1.0
28040974071466,0.21022554,-0.21422006,-0.7855716,0.5411028,-1.0
28040978829487,0.2099327,-0.21354294,-0.7859157,0.5409845,-1.0
28040983587508,0.20976612,-0.2128609,-0.78614414,0.540986,-1.0
28040988345529,0.20963039,-0.21222472,-0.7864072,0.5409062,-1.0
28040993103550,0.2093791,-0.2117791,-0.7869635,0.5403688,-1.0
28040997861571,0.2092493,-0.21127985,-0.7871933,0.54027975,-1.0
28041002619591,0.2087581,-0.21113464,-0.78825945,0.5389706,-1.0
28041007377612,0.20860991,-0.2107364,-0.788497,0.53883636,-1.0
28041012135633,0.20858473,-0.21025492,-0.7884031,0.53917146,-1.0
28041016893654,0.2084798,-0.20993815,-0.78861815,0.53902096,-1.0
28041021651675,0.20856358,-0.20946041,-0.7883406,0.53958005,-1.0
28041026409696,0.2084736,-0.20919263,-0.78855354,0.53940755,-1.0
28041031167716,0.20839708,-0.20893568,-0.7887687,0.5392221,-1.0
28041035925737,0.20829098,-0.20873202,-0.78910697,0.5388469,-1.0
28041040683758,0.20825757,-0.2084804,-0.78931546,0.5386518,-1.0
28041045441779,0.20830128,-0.20818824,-0.7893418,0.53870934,-1.0
28041050199800,0.20830184,-0.20797397,-0.78952795,0.538519,-1.0
28041054957821,0.20818499,-0.20785683,-0.7900255,0.5378794,-1.0
28041059715841,0.20815212,-0.2076691,-0.79024374,0.537644,-1.0
28041064473862,0.20819874,-0.20740408,-0.79024106,0.5377321,-1.0
28041069231883,0.20810214,-0.20726705,-0.7905007,0.5374407,-1.0
28041073989904,0.20781107,-0.20733035,-0.7912559,0.53641665,-1.0
28041078747925,0.20767806,-0.20722948,-0.7915534,0.5360681,-1.0
28041083505946,0.20747925,-0.20722657,-0.7920561,0.5354033,-1.0
28041088263966,0.20740473,-0.20716512,-0.7923179,0.5350684,-1.0
28041093021987,0.20728683,-0.20719114,-0.79277515,0.5344264,-1.0
28041097780008,0.2072851,-0.20713226,-0.7930011,0.53411454,-1.0
28041102538029,0.20712852,-0.20724942,-0.7936994,0.53309166,-1.0
28041107296050,0.20720594,-0.2071572,-0.7938909,0.53281224,-1.0
28041112054071,0.20733842,-0.2070303,-0.79404294,0.53258336,-1.0
28041116812091,0.2074915,-0.20689455,-0.7941957,0.5323487,-1.0
28041121570112,0.20763563,-0.20677549,-0.79444253,0.5319703,-1.0
28041126328133,0.20783551,-0.20658785,-0.79456055,0.5317889,-1.0
28041131086154,0.20805709,-0.2063809,-0.7946521,0.5316458,-1.0
28041135844175,0.20817144,-0.20627151,-0.7949803,0.53115255,-1.0
28041140602196,0.20836145,-0.20603964,-0.7950556,0.53105533,-1.0
28041145360216,0.20837228,-0.20599173,-0.7955523,0.5303253,-1.0
28041150118237,0.20853263,-0.20576519,-0.79559726,0.53028274,-1.0
28041154876206,0.20867634,-0.20554657,-0.79568285,0.5301826,-1.0
28041159634279,0.20881842,-0.20530689,-0.7957168,0.5301686,-1.0
28041164392300,0.20889525,-0.20512755,-0.7958884,0.5299501,-1.0
28041169150321,0.20899145,-0.20489436,-0.7959291,0.5299413,-1.0
28041173908341,0.2088918,-0.20486952,-0.796398,0.5292853,-1.0
28041178666362,0.20895575,-0.20468715,-0.7964224,0.5292939,-1.0
28041183424435,0.20906231,-0.2044563,-0.796294,0.5295342,-1.0
28041188182456,0.20912457,-0.204293,-0.7963109,0.5295472,-1.0
28041192940477,0.2092248,-0.20411488,-0.7962729,0.5296334,-1.0
28041197698498,0.20929798,-0.2039889,-0.7962739,0.5296516,-1.0
28041202456518,0.2093414,-0.20390812,-0.7963517,0.5295485,-1.0
28041207214487,0.20941566,-0.2038068,-0.79634905,0.5295622,-1.0
28041211972560,0.20951083,-0.20370093,-0.7962809,0.5296677,-1.0
28041216730581,0.20960025,-0.20363638,-0.7962603,0.52968806,-1.0
28041221488602,0.20969543,-0.20357755,-0.796183,0.5297892,-1.0
28041226246623,0.20980227,-0.20354709,-0.7961441,0.52981704,-1.0
28041231004643,0.20993589,-0.20354916,-0.7960773,0.5298637,-1.0
28041235762664,0.21022885,-0.20342894,-0.79562265,0.5304763,-1.0
28041240520685,0.21040462,-0.2034718,-0.7955224,0.5305405,-1.0
28041245278706,0.21055865,-0.20358098,-0.79550165,0.5304686,-1.0
28041250036727,0.21076795,-0.20366316,-0.79537344,0.53054625,-1.0
28041254794748,0.21096857,-0.20374322,-0.7952339,0.5306449,-1.0
28041259552768,0.21114187,-0.20384683,-0.7951216,0.53070444,-1.0
28041264310789,0.21134292,-0.2038878,-0.79487187,0.5309827,-1.0
28041269068810,0.21143712,-0.20399915,-0.7948016,0.53100765,-1.0
28041273826831,0.2113482,-0.20424663,-0.79510695,0.5304905,-1.0
28041278584852,0.21136232,-0.2043561,-0.7950811,0.53048146,-1.0
28041283342873,0.21131727,-0.20450206,-0.79519165,0.53027743,-1.0
28041288100893,0.2113051,-0.2045704,-0.7951817,0.5302709,-1.0
28041292858914,0.21130402,-0.20459895,-0.79517317,0.530273,-1.0
28041297616935,0.21129934,-0.2045878,-0.79516274,0.53029484,-1.0
28041302374956,0.21127798,-0.20453912,-0.79517823,0.53029895,-1.0
28041307132977,0.21125653,-0.20445801,-0.79516995,0.5303512,-1.0
28041311890998,0.21117829,-0.20439558,-0.7952765,0.5302466,-1.0
28041316649018,0.2111303,-0.2042674,-0.79525405,0.5303488,-1.0
28041321407039,0.21106744,-0.20411415,-0.79522866,0.53047085,-1.0
28041326165060,0.21095859,-0.20397387,-0.7952406,0.53055024,-1.0
28041330923081,0.21081665,-0.20380606,-0.7952235,0.53069675,-1.0
28041335681102,0.21055174,-0.20368978,-0.79542315,0.5305474,-1.0
28041340439123,0.2103082,-0.20348835,-0.7954646,0.5306591,-1.0
28041345197143,0.21002653,-0.20325282,-0.7954967,0.5308127,-1.0
28041349955164,0.20968278,-0.20302387,-0.79562426,0.53084505,-1.0
28041354713185,0.20929688,-0.2028011,-0.79581916,0.5307903,-1.0
28041359471258,0.20890905,-0.20255,-0.7960246,0.5307309,-1.0
28041364229279,0.20848031,-0.20234205,-0.7964102,0.5304003,-1.0
28041368987300,0.20811877,-0.20206343,-0.79667217,0.530255,-1.0
28041373745268,0.20776692,-0.20182112,-0.7970272,0.5299517,-1.0
28041378503341,0.20749786,-0.20154811,-0.7973013,0.5297487,-1.0
28041383261362,0.20726062,-0.20131463,-0.7976556,0.5293969,-1.0
28041388019383,0.20712118,-0.20105414,-0.7979044,0.52917546,-1.0
28041392777404,0.20701234,-0.20087817,-0.7982793,0.52871925,-1.0
28041397535425,0.20705138,-0.20066112,-0.79843575,0.5285501,-1.0
28041402293446,0.20712237,-0.2004951,-0.798642,0.52827364,-1.0
28041407051466,0.20728643,-0.20030779,-0.79871756,0.5281661,-1.0
28041411809487,0.20676468,-0.2008847,-0.8006629,0.52519774,-1.0
28041416567508,0.20700839,-0.20074375,-0.80065113,0.52517354,-1.0
28041421325529,0.20725775,-0.20061217,-0.80061316,0.5251833,-1.0
28041426083550,0.20676453,-0.20124787,-0.8024497,0.5223238,-1.0
28041430841571,0.20697442,-0.20115583,-0.8023697,0.52239907,-1.0
28041435599591,0.206419,-0.20180619,-0.8041435,0.51963323,-1.0
28041440357612,0.20651886,-0.20173045,-0.8040711,0.5197349,-1.0
28041445115633,0.20590441,-0.20234744,-0.8057198,0.51717937,-1.0
28041449873654,0.20592514,-0.20228903,-0.8056429,0.5173138,-1.0
28041454631675,0.20528498,-0.20286785,-0.80720204,0.5149054,-1.0
28041459389696,0.20528759,-0.20277634,-0.8071235,0.5150636,-1.0
28041464147768,0.20463927,-0.20332795,-0.80867416,0.5126662,-1.0
28041468905737,0.20464289,-0.20322216,-0.8085847,0.5128478,-1.0
28041473663810,0.20398755,-0.20378181,-0.8101789,0.5103648,-1.0
28041478421831,0.20400941,-0.20365864,-0.81008816,0.51054925,-1.0
28041483179852,0.20347331,-0.20412609,-0.8114238,0.5084512,-1.0
28041487937873,0.2035207,-0.2040257,-0.811321,0.5086364,-1.0
28041492695893,0.20299616,-0.2045117,-0.8126596,0.5065095,-1.0
28041497453914,0.20304336,-0.20445207,-0.8125594,0.5066753,-1.0
28041502211935,0.20251,-0.20498285,-0.81384975,0.50459915,-1.0
28041506969956,0.2025091,-0.2049851,-0.8137688,0.5047292,-1.0
28041511727977,0.2019163,-0.20558901,-0.8151001,0.50256824,-1.0
28041516485998,0.20189065,-0.20565648,-0.8150179,0.50268424,-1.0
28041521244018,0.20184907,-0.205746,-0.8149404,0.50279,-1.0
28041526002039,0.20123465,-0.20639846,-0.8162349,0.5006645,-1.0
28041530760060,0.201149,-0.20652263,-0.81616855,0.5007558,-1.0
28041535518081,0.20053829,-0.20714356,-0.81729287,0.4989071,-1.0
