t_ns,value
28489797896397,1.0
28494037898012,1.0
28498357896502,1.0
28502677897127,1.0
28506997902231,1.0
28511317898116,1.0
28515637904574,1.0
28519957896397,1.0
28520597896658,0.0
28521237896814,8.0
28521397898533,7.0
28521557898949,8.0
28521877896085,7.0
28522037897960,6.0
28522357899887,5.0
28523157896970,4.0
28524117902179,3.0
28524597898377,2.0
28526037898793,1.0
28526357896137,2.0
28526677901606,1.0
28527157900512,8.0
28527317898064,1.0
28528117897022,9.0
28528277896866,14.0
28528437899418,5.0
28528597898637,1.0
28529077899158,7.0
28529237898377,6.0
28529397897022,9.0
28529557899106,6.0
28529717899991,3.0
28529877900147,0.0
28530037900512,1.0
28530197897699,4.0
28530357898012,5.0
28530517903897,4.0
28530837897439,2.0
28531157898741,1.0
28531317900772,2.0
28532117900147,1.0
28532597897103,2.0
28532757898248,3.0
28532917900436,1.0
28533077901634,0.0
28533237896738,1.0
28534357933561,0.0
28534517896373,1.0
28535157896530,0.0
28535477899238,1.0
28535637900175,0.0
28537717896373,4.0
28537878044967,6.0
28538037901113,5.0
28538197898353,4.0
28538357896165,3.0
28538517988665,2.0
28538837900436,1.0
28539317901686,0.0
28543637900644,3.0
28543797896998,4.0
28543957896269,13.0
28544117896425,15.0
28544277898717,12.0
28544597898925,3.0
28544757896373,0.0
28544917901582,6.0
28545077901842,5.0
28545237896165,4.0
28545397896790,20.0
28545557903300,4.0
28545717907675,2.0
28546197898353,12.0
28546357901894,10.0
28546517896425,8.0
28546677896842,7.0
28546837898509,2.0
28546997898509,1.0
28547157896634,3.0
28547477899238,2.0
28547637898717,1.0
28548437897884,2.0
28548597897571,0.0
28549397901321,4.0
28549557899290,10.0
28549717897780,3.0
28549877904915,0.0
28550197902363,4.0
28550357897259,6.0
28550517900175,5.0
28550677902415,4.0
28550837899811,3.0
28550997896217,0.0
28551157898405,2.0
28551477898248,1.0
28552117897832,0.0
28553397898144,7.0
28553718066946,6.0
28553877902103,2.0
28554037904394,0.0
28554197896842,3.0
28554358025696,2.0
28554837895905,1.0
28554997961946,2.0
28555157897675,1.0
28555637981373,6.0
28555797896738,3.0
28555957903144,0.0
28556437942467,5.0
28556597899082,10.0
28556757898457,9.0
28556917933613,0.0
28560437898405,6.0
28560597896530,0.0
28560757898144,1.0
28560917897936,0.0
28563477902675,1.0
28563637896842,2.0
28563797896790,0.0
28565877898509,23.0
28566037901009,22.0
28566197896582,20.0
28566357898457,18.0
28566517897363,15.0
28566677901582,11.0
28566837896738,8.0
28566997909655,6.0
28567157895175,4.0
28567317899082,3.0
28567477897103,2.0
28567638051998,1.0
28568278059446,0.0
28568757897103,1.0
28568917900800,0.0
28573237896946,0.0
28573717898405,1.0
28573877896425,0.0
28578197896790,0.0
28581717900123,14.0
28581877899082,13.0
28582037896842,12.0
28582198013925,11.0
28582357899603,10.0
28582517901894,9.0
28582677896269,8.0
28582837898248,7.0
28582997900540,3.0
28583157899134,6.0
28583317896946,5.0
28583637897884,4.0
28583797899342,3.0
28584277898925,2.0
28584437904290,4.0
28584757898925,1.0
28585077903561,0.0
28586517896998,8.0
28586837989134,7.0
28586997899446,6.0
28587157901165,5.0
28587317898873,4.0
28587477902103,3.0
28587797896217,2.0
28588277899967,1.0
28588757901894,0.0
28588917896842,1.0
28589077897311,0.0
28589237900748,1.0
28589397901530,0.0
28590037900071,1.0
28590197896790,0.0
28592277900465,4.0
28592437899059,8.0
28592757896142,7.0
28592917898694,6.0
28593237902496,5.0
28593397896142,4.0
28593717899944,3.0
28594037899111,2.0
28594357897392,1.0
28594517901559,0.0
28594997897392,1.0
28595157898382,2.0
28595477963538,0.0
28596917898434,10.0
28597077904267,9.0
28597237895882,4.0
28597397899111,0.0
28597557898746,4.0
28597717900205,5.0
28597877896142,4.0
28598038033173,3.0
28598357899371,2.0
28598837926715,1.0
28599317900153,0.0
28599637897809,1.0
28600117924996,0.0
28604117896090,3.0
28604277900257,0.0
28608277899580,1.0
28608597896923,0.0
28609237896507,1.0
28609397943069,8.0
28609557902080,9.0
28609717902913,4.0
28609877896715,0.0
28610037906194,4.0
28610197898434,7.0
28610517896038,6.0
28610837898955,5.0
28611157896090,4.0
28611477900673,3.0
28611637897288,2.0
28611797896819,1.0
28611957898486,2.0
28612277899007,0.0
28612597899840,1.0
28613237898538,2.0
28613397898694,6.0
28613557896663,5.0
28613717896923,3.0
28613877897913,1.0
28614037902600,0.0
28614357896246,1.0
28614517897809,0.0
28614677898642,1.0
28615477899059,0.0
28617557897913,2.0
28617877898642,1.0
28618838113434,0.0
28619317896246,1.0
28619478088225,0.0
28623797896507,0.0
28625237900100,10.0
28625397899580,9.0
28625717896298,8.0
28625877899163,7.0
28626037898642,6.0
28626357895986,5.0
28626517899892,3.0
28626677899475,2.0
28626837896403,3.0
28626997896090,1.0
28627157901455,2.0
28627637896975,1.0
28628757895986,0.0
28629397897288,4.0
28629557899736,7.0
28629717897184,6.0
28629877898746,5.0
28630037896246,4.0
28630197899111,3.0
28630357898903,2.0
28630677899892,1.0
28630997901663,2.0
28631157899996,1.0
28631477900934,0.0
28632917897236,1.0
28633557955465,0.0
28634357901507,1.0
28634517896403,0.0
28637237899319,2.0
28637397898642,7.0
28637717896403,3.0
28637877897653,0.0
28638037898486,2.0
28638197896090,3.0
28638517897548,2.0
28638837900413,3.0
28638997897340,2.0
28639157899267,1.0
28639477896559,0.0
28640437900048,1.0
28640597899007,14.0
28640757896715,11.0
28640918062392,0.0
28641077898850,5.0
28641237898330,9.0
28641397896715,8.0
28641558006090,6.0
28641717902132,5.0
28641877900830,4.0
28642037896663,3.0
28642197899840,2.0
28642517901975,1.0
28643157901246,0.0
28647477898798,0.0
28650837896923,1.0
28650997949111,5.0
28651157898434,13.0
28651317903798,12.0
28651477896507,5.0
28651637955934,0.0
28651797896559,3.0
28651957898590,4.0
28652117897028,6.0
28652277902370,3.0
28652437897214,7.0
28652757896433,6.0
28652917901537,4.0
28653077899505,0.0
28653237896328,3.0
28653397896901,5.0
28653557898464,10.0
28653717898880,7.0
28653877896745,10.0
28654197899037,8.0
28654357901537,6.0
28654517896380,7.0
28654837899245,1.0
28654997901901,0.0
28655637942318,1.0
28655797896380,0.0
28660117898151,0.0
28661237899297,1.0
28661397899974,2.0
28661557896537,1.0
28661717902058,0.0
28664757897839,1.0
28664917898099,0.0
28665237896120,1.0
28665397900964,2.0
28665557897839,1.0
28665717898724,0.0
28666837897683,4.0
28666997902214,10.0
28667157896068,0.0
28667957993360,1.0
28668117896901,14.0
28668277900026,13.0
28668597960651,12.0
28668757901693,11.0
28668917900130,9.0
28669237905860,7.0
28669557899453,6.0
28669717896172,5.0
28669878042058,4.0
28670037901485,3.0
28670197900026,2.0
28670517898464,1.0
28670837898516,0.0
28674517898568,1.0
28674677895912,0.0
28675477898985,1.0
28675797899037,0.0
28676917898412,2.0
28677077902370,0.0
28677237896901,1.0
28677397966224,2.0
28678037950495,1.0
28679157896797,0.0
28679317901120,1.0
28679477960912,0.0
28682037907474,3.0
28682197897995,6.0
28682517897735,2.0
28682677902735,1.0
28682837895703,4.0
28682997902162,3.0
28683157897995,2.0
28683637899870,1.0
28684278090235,0.0
28684437899089,5.0
28684757896224,2.0
28684918077787,0.0
28685237902735,2.0
28685397896745,3.0
28685717898047,2.0
28686197987630,1.0
28686837932266,0.0
28691157896953,0.0
28691317897214,6.0
28691477898516,14.0
28691637898620,2.0
28691797898412,0.0
28692277896276,7.0
28692437900183,0.0
28692917896901,4.0
28693078064818,1.0
28693237897943,6.0
28693397901745,5.0
28693557896745,2.0
28693718049141,9.0
28693877897995,10.0
28694037902422,2.0
28694197896433,5.0
28694357900808,7.0
28694517896433,1.0
28694677900808,0.0
28694997897474,1.0
28695157896797,3.0
28695317902162,0.0
28695477897110,2.0
28695637944401,0.0
28696117896537,1.0
28696597901224,0.0
28697077930912,8.0
28697397897058,7.0
28697557899922,6.0
28697877896120,5.0
28698037896849,4.0
28698517896693,3.0
28698677896953,2.0
28699477901276,11.0
28699957966433,0.0
28700277899349,1.0
28700597898880,8.0
28700757905912,14.0
28700917901433,11.0
28701077896849,10.0
28701237899245,11.0
28701557898880,8.0
28702037899037,7.0
28702197901068,5.0
28702518003724,3.0
28702837903516,2.0
28703157980860,1.0
28704117901589,0.0
28704437899401,1.0
28704917898568,0.0
28706517920703,19.0
28706837896797,18.0
28706997898985,17.0
28707157957266,8.0
28707317896172,15.0
28707477895860,13.0
28707637901849,11.0
28707797899505,9.0
28707957899558,7.0
28708117903203,5.0
28708277897943,4.0
28708437965130,3.0
28708597896745,2.0
28708917899714,1.0
28709237896485,2.0
28709397899922,1.0
28709557898464,0.0
28711318021693,2.0
28711477898568,14.0
28711637902214,7.0
28711797896901,0.0
28711957937422,8.0
28712118003880,3.0
28712278080056,0.0
28715637895838,1.0
28716117899431,0.0
28716757896358,1.0
28716917899744,4.0
28717077901671,5.0
28717237898858,3.0
28717397896046,0.0
28719157901827,15.0
28719317896879,12.0
28719478001463,10.0
28719637901306,4.0
28719797900942,3.0
28719957896098,6.0
28720117981879,5.0
28720277897035,4.0
28720437898754,3.0
28720597896567,2.0
28720757898129,1.0
28721237895629,0.0
28723957898754,16.0
28724117899692,12.0
28724277896202,6.0
28724437898338,0.0
28725557896775,1.0
28725718094171,0.0
28726037898650,1.0
28726197896410,0.0
28727957989119,1.0
28728117897035,0.0
28729397896306,1.0
28730037895994,0.0
28733237900108,1.0
28733397898702,0.0
28737717901463,0.0
28742038049379,0.0
28746357896254,0.0
28750677896619,0.0
28754997896150,0.0
28759317898546,0.0
28763637898546,0.0
28767957899327,0.0
