t_ns,mx,my,mz,accuracy
28489750162699,33.05625,-16.59375,-9.50625,3
28489760162699,32.86875,-14.1,-10.1625,3
28489770162699,33.375,-14.793751,-10.05,3
28489780162699,34.162502,-14.062501,-11.55,3
28489790162699,35.831253,-16.35,-12.13125,3
28489800162699,33.2625,-15.675,-11.08125,3
28489810162699,32.90625,-16.48125,-9.01875,3
28489820162699,29.868752,-15.13125,-9.31875,3
28489830162699,33.487503,-17.025002,-10.462501,3
28489840162699,34.21875,-13.8,-11.868751,3
28489850162699,34.350002,-15.525001,-10.44375,3
28489860162699,33.80625,-15.225,-11.325001,3
28489870162699,35.550003,-14.118751,-11.1,3
28489880162699,33.43125,-14.531251,-10.368751,3
28489890162699,34.350002,-14.775001,-10.931251,3
28489900162699,32.68125,-16.0125,-9.46875,3
28489910162699,33.131252,-15.937501,-8.137501,3
28489920162699,31.706251,-15.262501,-8.75625,3
28489930162699,33.375,-14.531251,-8.512501,3
28489940162699,34.29375,-14.2875,-7.1062503,3
28489950162699,32.1375,-16.331251,-8.475,3
28489960162699,33.975002,-16.59375,-8.681251,3
28489970162699,33.600002,-16.143751,-9.431251,3
28489980162699,32.30625,-15.431251,-8.981251,3
28489990162699,32.86875,-16.743752,-9.01875,3
28490000162699,32.98125,-13.200001,-9.13125,3
28490010162699,32.568752,-15.637501,-8.55,3
28490020162699,33.45,-14.887501,-8.0625,3
28490030162699,31.35,-16.44375,-8.83125,3
28490040162699,32.5875,-14.250001,-7.05,3
28490050162699,32.9625,-14.587501,-10.6125,3
28490060162699,32.53125,-14.531251,-11.175,3
28490070162699,34.706253,-14.475,-10.9875,3
28490080162699,34.96875,-13.950001,-11.64375,3
28490090162699,32.7,-16.3875,-11.606251,3
28490100162699,32.175003,-14.56875,-10.368751,3
28490110162699,33.43125,-14.775001,-11.4375,3
28490120162699,34.6875,-14.493751,-10.368751,3
28490130162699,32.7,-16.0125,-9.9375,3
28490140162699,32.625,-14.64375,-10.275001,3
28490150162699,31.312502,-16.6875,-8.83125,3
28490160162699,34.55625,-15.13125,-9.88125,3
28490170162699,34.350002,-14.775001,-10.931251,3
28490180162699,33.131252,-13.950001,-12.50625,3
28490190162699,35.11875,-14.175,-12.88125,3
28490200162699,34.78125,-14.231251,-11.775001,3
28490210162699,34.4625,-14.64375,-9.4125,3
28490220162699,35.0625,-14.175,-11.043751,3
28490230162699,35.30625,-14.26875,-9.225,3
28490240162699,34.331253,-12.900001,-10.837501,3
28490250162699,34.0875,-14.437501,-10.762501,3
28490260162699,32.381252,-14.2875,-10.25625,3
28490270162699,34.3125,-14.793751,-9.84375,3
28490280162699,32.41875,-15.0375,-10.387501,3
28490290162699,32.60625,-15.637501,-10.087501,3
28490300162699,35.925003,-13.687501,-11.15625,3
28490310162699,34.331253,-15.543751,-9.675,3
28490320162699,35.025,-14.700001,-12.093751,3
28490330162699,35.100002,-15.675,-10.2375,3
28490340162699,33.61875,-14.625001,-11.925,3
28490350162699,34.443752,-14.531251,-12.7875,3
28490360162699,32.775,-15.750001,-11.025001,3
28490370162699,33.43125,-15.281251,-9.431251,3
28490380162699,32.006252,-17.23125,-8.887501,3
28490390162699,32.456253,-15.150001,-7.7812505,3
28490400162699,33.393753,-15.543751,-9.731251,3
28490410162699,32.0625,-16.087502,-9.8625,3
28490420162699,32.475002,-15.543751,-9.918751,3
28490430162699,33.84375,-15.337501,-8.25,3
28490440162699,31.987501,-15.731251,-10.3125,3
28490450162699,33.61875,-15.000001,-9.0,3
28490460162699,30.975,-16.743752,-8.325001,3
28490470162699,32.175003,-14.19375,-8.231251,3
28490480162699,32.25,-15.69375,-8.512501,3
28490490162699,31.95,-15.731251,-9.243751,3
28490500162699,31.406252,-16.050001,-8.400001,3
28490510162699,33.487503,-14.887501,-9.13125,3
28490520162699,32.34375,-17.175001,-9.543751,3
28490530162699,31.95,-15.731251,-9.243751,3
28490540162699,31.931252,-16.743752,-8.7375,3
28490550162699,31.575,-15.900001,-7.9687505,3
28490560162699,30.975,-15.731251,-8.19375,3
28490570162699,31.331251,-15.69375,-9.31875,3
28490580162699,29.400002,-16.2,-9.543751,3
28490590162699,31.35,-16.44375,-8.83125,3
28490600162699,31.518751,-15.543751,-9.1875,3
28490610162699,31.687502,-16.893751,-7.33125,3
28490620162699,31.968752,-16.10625,-7.2375,3
28490630162699,32.90625,-14.212501,-7.0875,3
28490640162699,32.475002,-16.29375,-8.981251,3
28490650162699,33.318752,-15.7875,-8.625,3
28490660162699,32.60625,-15.39375,-8.55,3
28490670162699,30.225,-16.59375,-8.231251,3
28490680162699,34.29375,-15.281251,-7.5375004,3
28490690162699,33.768753,-15.8625,-8.212501,3
28490700162699,31.500002,-14.793751,-9.825001,3
28490710162699,32.737503,-14.493751,-8.2875,3
28490720162699,31.275002,-15.937501,-8.700001,3
28490730162699,31.575,-15.150001,-8.90625,3
28490740162699,30.056252,-16.987501,-9.900001,3
28490750162699,32.025,-13.200001,-8.1,3
28490760162699,30.337502,-15.937501,-8.7375,3
28490770162699,31.44375,-15.7875,-8.400001,3
28490780162699,32.737503,-14.7375,-9.356251,3
28490790162699,31.781252,-16.63125,-8.887501,3
28490800162699,34.96875,-16.575,-10.5,3
28490810162699,33.825,-14.475,-12.562501,3
28490820162699,33.525,-16.5375,-13.856251,3
28490830162699,32.41875,-16.050001,-10.96875,3
28490840162699,34.66875,-15.4875,-10.481251,3
28490850162699,33.75,-16.237501,-10.05,3
28490860162699,31.85625,-16.743752,-6.9,3
28490870162699,32.175003,-16.331251,-9.5625,3
28490880162699,32.60625,-15.637501,-10.087501,3
28490890162699,33.018753,-15.843751,-9.056251,3
28490900162699,32.006252,-16.48125,-10.14375,3
28490910162699,34.74375,-14.85,-9.450001,3
28490920162699,31.650002,-15.637501,-9.056251,3
28490930162699,32.25,-14.94375,-9.918751,3
28490940162699,34.66875,-15.750001,-11.55,3
28490950162699,32.49375,-15.525001,-10.5375,3
28490960162699,32.68125,-15.000001,-9.0375,3
28490970162699,31.237501,-16.575,-10.81875,3
28490980162699,33.6375,-16.125,-10.5,3
28490990162699,32.53125,-14.137501,-9.65625,3
28491000162699,31.0125,-15.975,-10.35,3
28491010162699,31.0125,-15.975,-10.35,3
28491020162699,32.90625,-14.85,-9.993751,3
28491030162699,32.23125,-15.937501,-9.58125,3
28491040162699,32.30625,-14.681251,-9.918751,3
28491050162699,31.312502,-16.6875,-9.13125,3
28491060162699,31.837502,-16.368752,-8.90625,3
28491070162699,31.575,-17.79375,-8.3625,3
28491080162699,31.95,-15.975,-10.6125,3
28491090162699,33.1875,-14.94375,-9.712501,3
28491100162699,33.0,-16.331251,-6.2812505,3
28491110162699,33.018753,-16.59375,-8.118751,3
28491120162699,30.862501,-15.618751,-8.8125,3
28491130162699,32.79375,-17.118752,-9.0,3
28491140162699,30.91875,-15.618751,-10.200001,3
28491150162699,33.46875,-16.650002,-8.00625,3
28491160162699,33.2625,-15.431251,-9.5625,3
28491170162699,32.1375,-16.575,-10.012501,3
28491180162699,31.800001,-15.000001,-10.462501,3
28491190162699,31.29375,-16.95,-9.900001,3
28491200162699,31.143751,-15.58125,-7.7625003,3
28491210162699,30.750002,-16.143751,-8.00625,3
28491220162699,31.63125,-14.887501,-9.525001,3
28491230162699,31.143751,-16.59375,-8.19375,3
28491240162699,31.63125,-15.150001,-10.59375,3
28491250162699,33.862503,-15.6,-10.087501,3
28491260162699,32.23125,-15.187501,-10.200001,3
28491270162699,32.381252,-14.2875,-10.556251,3
28491280162699,32.287502,-14.681251,-9.46875,3
28491290162699,31.48125,-16.050001,-10.556251,3
28491300162699,33.46875,-15.281251,-10.5,3
28491310162699,33.375,-14.418751,-12.675,3
28491320162699,34.050003,-14.437501,-9.675,3
28491330162699,34.36875,-14.775001,-11.700001,3
28491340162699,32.362503,-16.425001,-10.950001,3
28491350162699,32.850002,-16.743752,-8.55,3
28491360162699,32.643753,-16.3875,-10.21875,3
28491370162699,30.843752,-16.875,-9.993751,3
28491380162699,32.287502,-16.44375,-9.1125,3
28491390162699,32.175003,-16.95,-8.306251,3
28491400162699,32.4,-16.800001,-9.262501,3
28491410162699,32.737503,-13.9875,-9.993751,3
28491420162699,30.300001,-16.2,-9.0375,3
28491430162699,31.031252,-15.731251,-9.75,3
28491440162699,32.04375,-16.087502,-9.39375,3
28491450162699,30.91875,-16.63125,-10.78125,3
28491460162699,33.46875,-15.900001,-8.94375,3
28491470162699,32.15625,-15.95625,-7.4062505,3
28491480162699,32.193752,-16.95,-8.775001,3
28491490162699,31.2,-17.587502,-10.1625,3
28491500162699,33.35625,-16.800001,-9.993751,3
28491510162699,33.300003,-16.800001,-8.4375,3
28491520162699,34.331253,-16.5375,-10.275001,3
28491530162699,33.075,-15.825001,-10.743751,3
28491540162699,33.693752,-14.7375,-10.087501,3
28491550162699,32.41875,-16.5375,-8.962501,3
28491560162699,32.9625,-16.48125,-10.40625,3
28491570162699,31.462502,-16.425001,-12.39375,3
28491580162699,34.4625,-13.89375,-10.35,3
28491590162699,32.90625,-13.837501,-9.712501,3
28491600162699,34.78125,-13.837501,-10.40625,3
28491610162699,34.425003,-14.26875,-10.650001,3
28491620162699,34.0125,-14.962501,-11.493751,3
28491630162699,33.54375,-15.900001,-11.418751,3
28491640162699,35.15625,-16.181252,-9.6,3
28491650162699,33.956253,-14.325001,-10.89375,3
28491660162699,36.0,-14.437501,-12.375001,3
28491670162699,33.2625,-16.425001,-10.14375,3
28491680162699,33.693752,-13.9875,-10.875,3
28491690162699,34.55625,-15.13125,-9.5625,3
28491700162699,32.79375,-15.993751,-12.39375,3
28491710162699,32.756252,-15.750001,-9.9375,3
28491720162699,33.43125,-16.5375,-11.08125,3
28491730162699,33.6375,-15.000001,-9.3,3
