t_ns,hPa
29751747075291,981.62305
29751787074302,981.6172
29751827074458,981.624
29751867075812,981.62646
29751907080760,981.62524
29751947275812,981.6216
29751987077531,981.6238
29752027082896,981.6155
29752067079614,981.6228
29752107078052,981.62036
29752147090187,981.6238
29752187077687,981.62524
29752227076802,981.6311
29752267079979,981.6189
29752307079979,981.6096
29752347083156,981.6111
29752387080031,981.61743
29752427076906,981.6216
29752467172583,981.6223
29752507083729,981.6184
29752547079719,981.6177
29752587198208,981.6267
29752627077271,981.62573
29752667077219,981.6206
29752707110916,981.625
29752747080500,981.626
29752787080604,981.62427
29752827076958,981.62866
29752867077166,981.62964
29752907082114,981.6245
29752947143104,981.6167
29752987079771,981.614
29753027081177,981.6133
29753067077791,981.6177
29753107081125,981.61865
29753147079614,981.61523
29753187077635,981.6179
29753227119458,981.6179
29753267077739,981.624
29753307077114,981.6177
29753347080864,981.61816
29753387081437,981.6206
29753427082844,981.61743
29753467077896,981.61816
29753507077010,981.61084
29753547085760,981.6096
29753587079406,981.615
29753627080135,981.6157
29753667230187,981.61694
29753707077010,981.6184
29753747077323,981.6206
29753787079875,981.6201
29753827080344,981.62524
29753867083052,981.62695
29753907077844,981.6221
29753947077062,981.6284
29753987079979,981.624
29754027177896,981.6289
29754067079198,981.62524
29754107080604,981.6282
29754147077531,981.626
29754187079719,981.62134
29754227082635,981.6196
29754267080396,981.62085
29754307193156,981.6194
29754347077844,981.615
29754387080031,981.6118
29754427080916,981.6028
29754467080812,981.6145
29754507078989,981.6133
29754547081437,981.6123
29754587077427,981.6218
29754627083104,981.6267
29754667078416,981.6301
29754707077948,981.62573
29754747253729,981.6272
29754787078208,981.61865
29754827077583,981.61816
29754867145812,981.614
29754907079250,981.6177
29754947087114,981.61426
29754987077271,981.6123
29755027077844,981.6079
29755067079666,981.61597
29755107082791,981.61597
29755147081281,981.6157
29755187081385,981.6074
29755227080291,981.61035
29755267080916,981.6113
29755307096385,981.6145
29755347082062,981.61304
29755387167166,981.614
29755427077375,981.6113
29755467078000,981.6123
29755507080760,981.61523
29755547079719,981.61743
29755587080187,981.6179
29755627076802,981.62134
29755667078625,981.6194
29755707084458,981.62573
29755747082844,981.6199
29755787079094,981.6155
29755827225031,981.60864
29755867077166,981.6167
29755907077583,981.61597
29755947081698,981.624
29755987086125,981.6189
29756027122427,981.614
29756067076906,981.6189
29756107078729,981.6162
29756147079250,981.62256
29756187079614,981.60986
29756227082687,981.6172
29756267079771,981.62476
29756307079979,981.6135
29756347083833,981.6116
29756387093469,981.6123
29756427082687,981.61865
29756467186750,981.615
29756507077687,981.6189
29756547078104,981.6201
29756587079458,981.6199
29756627078521,981.62427
29756667081594,981.62036
29756707077531,981.61816
29756747077062,981.61743
29756787082010,981.61694
29756827080916,981.62036
29756867082583,981.61914
29756907078469,981.61523
29756947077114,981.6172
29756987080291,981.61304
29757027083312,981.6135
29757067079979,981.6138
29757107144354,981.6045
29757147077010,981.6138
29757187079927,981.6116
29757227084614,981.6045
29757267082531,981.60864
29757307081073,981.61084
29757347078833,981.6079
29757387076854,981.61694
29757427081021,981.62305
29757467082062,981.62134
29757507080760,981.6223
29757547215187,981.62134
29757587077219,981.6289
29757627077739,981.6167
29757667079666,981.6245
29757707080916,981.62915
29757747081125,981.6316
29757787076229,981.6289
29757827077844,981.63135
29757867081125,981.63184
29757907082948,981.626
29757947082948,981.63354
29757987080604,981.6277
29758027078052,981.62305
29758067078104,981.61646
29758107082427,981.61914
29758147079927,981.61646
