t_ns,gx,gy,gz
30120268070622,-0.46212184,9.132294,3.5437322
30120272828539,-0.2658184,9.014961,3.8510003
30120277586351,-0.14653553,9.013238,3.8614068
30120282344216,-0.04479957,9.05305,3.7697036
30120287102080,0.002389002,9.047038,3.7843704
30120291859945,0.013558694,9.025688,3.8349912
30120296617757,-0.023622712,9.040104,3.8008368
30120301375622,-0.09701023,9.047823,3.7812548
30120306133487,-0.1832189,9.033957,3.8110952
30120310891351,-0.25555617,9.031105,3.8136873
30120315649216,-0.30552402,9.039937,3.7890067
30120320407028,-0.31897756,9.038225,3.7919798
30120325164893,-0.30045018,9.035203,3.8006873
30120329922757,-0.26223898,9.042783,3.78546
30120334680622,-0.21411218,9.049655,3.7720416
30120339438434,-0.17130087,9.048703,3.7765067
30120344196299,-0.13880017,9.050269,3.774089
30120348954112,-0.12562351,9.0556555,3.7616074
30120353712028,-0.13020836,9.056193,3.760159
30120358469841,-0.14864886,9.05435,3.7639148
30120363227705,-0.17432112,9.056506,3.7576191
30120367985570,-0.19870089,9.05827,3.7521522
30120372743434,-0.21827607,9.057489,3.7529502
30120377501247,-0.22819953,9.057966,3.7512088
30120382259112,-0.2265867,9.060852,3.7443275
30120387016976,-0.2167084,9.062227,3.7415848
30120391774841,-0.20334814,9.062535,3.741588
30120396532653,-0.1890791,9.064253,3.7381768
30120401290518,-0.1792244,9.065931,3.7345867
30120406048382,-0.17629687,9.066308,3.733813
30120410806247,-0.18055642,9.066704,3.7326498
30120415564112,-0.1901224,9.067643,3.729892
30120420321924,-0.20256892,9.06772,3.7290483
30120425079789,-0.21438979,9.067113,3.7298653
30120429837653,-0.22199167,9.067423,3.7286654
30120434595518,-0.22525452,9.06772,3.7277482
30120439353330,-0.22312574,9.06771,3.7279005
30120444111195,-0.21624495,9.067971,3.7276692
30120448869059,-0.20769049,9.068887,3.7259264
30120453626924,-0.2000517,9.069391,3.7251165
30120458384737,-0.19460236,9.069552,3.7250156
30120463142601,-0.19380109,9.069844,3.7243433
30120467900466,-0.19721821,9.070118,3.723499
30120472658330,-0.20431632,9.069759,3.723991
30120477416143,-0.21379186,9.069397,3.7243392
30120482174007,-0.22302459,9.069168,3.724359
30120486931872,-0.2306424,9.068852,3.7246642
30120491689737,-0.23498885,9.0683365,3.7256465
30120496447549,-0.23638074,9.067997,3.7263863
30120501205414,-0.23528706,9.067993,3.7264614
30120505963226,-0.23229705,9.067791,3.7271428
30120510721143,-0.2301805,9.067401,3.7282224
30120515478955,-0.22950304,9.066991,3.7292597
30120520236820,-0.23067212,9.0665245,3.7303257
30120524994684,-0.2338936,9.065824,3.7318268
30120529752549,-0.23921078,9.065116,3.73321
30120534510362,-0.24555396,9.0643425,3.7346723
30120539268226,-0.25203294,9.063562,3.7361348
30120544026091,-0.2572925,9.062833,3.7375467
30120548783955,-0.26034567,9.06213,3.7390378
30120553541768,-0.2610481,9.061521,3.7404673
30120558299632,-0.2605664,9.061006,3.741746
30120563057497,-0.2591169,9.060472,3.7431412
30120567815362,-0.25817943,9.060018,3.7443051
30120572573174,-0.25877234,9.059476,3.7455738
30120577331039,-0.26083264,9.058878,3.7468777
30120582088903,-0.26463237,9.058291,3.748028
30120586846768,-0.26980147,9.057588,3.74936
30120591604632,-0.27565095,9.056754,3.7509477
30120596362445,-0.2811297,9.0560055,3.7523458
30120601120309,-0.28597814,9.0553465,3.7535732
30120605878174,-0.28925475,9.054729,3.7548091
30120610636039,-0.29124117,9.05412,3.7561238
30120615393851,-0.29238182,9.053649,3.7571716
30120620151716,-0.29278216,9.053151,3.7583416
30120624909580,-0.29308838,9.052731,3.7593298
30120629667393,-0.29379922,9.052353,3.760181
30120634425257,-0.29544044,9.051963,3.7609925
30120639183122,-0.2975063,9.051587,3.7617347
30120643940987,-0.30007413,9.051178,3.7625144
30120648698799,-0.30249918,9.050805,3.7632167
30120653456664,-0.30471292,9.05045,3.763894
30120658214528,-0.3064606,9.050245,3.7642422
30120662972341,-0.30705458,9.050133,3.7644684
30120667730205,-0.30696714,9.050043,3.7646883
30120672488070,-0.30640516,9.049984,3.7648776
30120677245934,-0.30533826,9.049997,3.7649302
30120682003799,-0.3042458,9.0501,3.7647722
30120686761612,-0.30368498,9.050195,3.7645905
30120691519476,-0.30326408,9.050197,3.7646189
30120696277341,-0.30268404,9.050175,3.7647185
30120701035205,-0.3018499,9.050174,3.7647874
30120705793070,-0.30067092,9.050212,3.7647917
30120710550882,-0.2990045,9.050245,3.7648423
30120715308747,-0.2969326,9.050323,3.7648215
30120720066612,-0.29448733,9.050446,3.7647188
30120724824424,-0.29232424,9.050648,3.7644005
30120729582289,-0.29099274,9.050531,3.7647831
30120734340153,-0.29082298,9.050515,3.7648344
30120739098018,-0.29150373,9.050672,3.764407
30120743855830,-0.292901,9.050604,3.7644598
30120748613695,-0.29463625,9.050749,3.7639773
30120753371559,-0.2961833,9.051106,3.7629962
30120758129424,-0.2971454,9.0513,3.762454
30120762887237,-0.29760244,9.051272,3.7624848
30120767645101,-0.29763478,9.051216,3.7626162
30120772402966,-0.2973484,9.051063,3.76301
30120777160830,-0.29713553,9.050875,3.763479
30120781918643,-0.29702726,9.05067,3.7639785
30120786676507,-0.2968486,9.050694,3.7639341
30120791434372,-0.29677308,9.050749,3.7638104
30120796192237,-0.29677892,9.05076,3.7637823
30120800950049,-0.29674193,9.050849,3.7635722
30120805707914,-0.29621023,9.050905,3.7634766
30120810465778,-0.2953786,9.0508175,3.7637537
30120815223643,-0.29409212,9.050745,3.7640278
30120819981455,-0.29250965,9.050755,3.7641277
30120824739320,-0.29055557,9.050723,3.7643595
30120829497184,-0.28871557,9.050624,3.764735
30120834255049,-0.2870158,9.050565,3.765007
30120839012862,-0.28574774,9.050573,3.7650845
30120843770726,-0.28464094,9.050612,3.7650728
30120848528591,-0.28398356,9.050641,3.7650554
30120853286403,-0.283548,9.050678,3.764997
30120858044268,-0.28326324,9.050725,3.7649088
30120862802132,-0.28291416,9.050714,3.7649612
30120867559997,-0.28267634,9.05072,3.7649617
30120872317862,-0.2825231,9.050699,3.7650244
30120877075674,-0.28250206,9.05066,3.7651196
30120881833539,-0.2821698,9.0506525,3.7651656
30120886591403,-0.28154504,9.050748,3.7649806
30120891349216,-0.28082368,9.050825,3.7648501
30120896107080,-0.27994466,9.050868,3.7648113
30120900864945,-0.2792441,9.050981,3.7645924
30120905622809,-0.27830282,9.051137,3.7642896
30120910380622,-0.27737573,9.051272,3.76403
30120915138487,-0.27644396,9.051446,3.7636807
30120919896351,-0.2756902,9.0516405,3.7632694
30120924654216,-0.27511406,9.051845,3.762818
30120929412028,-0.27466726,9.051974,3.7625391
30120934169893,-0.27429366,9.052056,3.7623699
30120938927757,-0.27397963,9.052182,3.7620888
30120943685570,-0.27345765,9.052327,3.7617803
30120948443434,-0.27259368,9.052506,3.7614086
30120953201299,-0.27162665,9.05267,3.7610874
30120957959164,-0.27066272,9.052794,3.7608554
30120962716976,-0.26960972,9.052871,3.7607474
30120967474841,-0.26848784,9.0529375,3.7606683
30120972232705,-0.26746997,9.0528965,3.7608395
30120976990518,-0.26649913,9.052886,3.7609315
30120981748382,-0.265135,9.052968,3.760831
30120986506247,-0.263607,9.05291,3.7610795
30120991264112,-0.261985,9.052927,3.7611525
30120996021976,-0.2599384,9.052858,3.7614603
30121000779789,-0.2576745,9.052752,3.7618716
30121005537653,-0.2552722,9.052579,3.7624507
30121010295518,-0.25298244,9.052356,3.7631438
30121015053382,-0.25063902,9.052127,3.7638493
30121019811195,-0.24843399,9.051899,3.7645454
30121024569059,-0.24649341,9.051681,3.7651966
30121029326924,-0.24471347,9.051457,3.7658484
30121034084789,-0.24316235,9.051102,3.7668066
30121038842601,-0.2421251,9.050705,3.767824
30121043600466,-0.24129401,9.050439,3.7685156
30121048358330,-0.24039935,9.050151,3.7692673
30121053116143,-0.23941505,9.049774,3.7702317
30121057874007,-0.23821585,9.049489,3.7709913
30121062631872,-0.2369902,9.049219,3.7717187
30121067389737,-0.23579732,9.048944,3.7724526
30121072147549,-0.23474985,9.048785,3.7728968
30121076905414,-0.23388189,9.048763,3.7730045
