t_ns,gx,gy,gz,accuracy
30521315208327,0.009926553,-0.0050396346,0.016493348,3
30521317587233,0.012370012,0.0059559317,0.010384701,3
30521319966139,0.003817905,0.013286309,0.0042760535,3
30521322345046,-0.008399391,0.018173227,0.0018325944,3
30521324723952,-0.015729768,0.023060145,-6.108648E-4,3
30521327102858,-0.012064579,0.025503604,-0.0018325944,3
30521329481816,-0.0010690134,0.024281874,-0.0018325944,3
30521331860723,0.008704823,0.024281874,-6.108648E-4,3
30521334239629,0.011148282,0.019394957,0.0030543238,3
30521336618535,0.003817905,0.0108428495,0.005497783,3
30521338997441,-0.0059559317,0.0035124724,0.007941242,3
30521341376296,-0.012064579,-0.006261364,0.01282816,3
30521343755254,-0.008399391,-0.014813471,0.018936807,3
30521346134160,-0.0010690134,-0.020922119,0.021380268,3
30521348513119,0.006261364,-0.027030766,0.025045456,3
30521350892025,0.0074830935,-0.033139415,0.028710645,3
30521353270931,0.0013744457,-0.035582874,0.028710645,3
30521355649837,-0.0059559317,-0.035582874,0.026267186,3
30521358028744,-0.00962112,-0.033139415,0.023823727,3
30521360407650,-0.008399391,-0.028252495,0.021380268,3
30521362786608,-0.0035124724,-0.01970039,0.017715078,3
30521365165514,0.0025961753,-0.011148282,0.0140498895,3
30521367544421,0.003817905,-0.0025961753,0.009162972,3
30521369923327,0.0025961753,0.004734202,0.0042760535,3
30521372302233,-0.0035124724,0.012064579,-6.108648E-4,3
30521374681139,-0.007177661,0.018173227,-0.0030543238,3
30521377060046,-0.0059559317,0.023060145,-0.0042760535,3
30521379439004,-0.002290743,0.025503604,-0.0067195124,3
30521381817910,0.0025961753,0.029168794,-0.005497783,3
30521384196816,0.003817905,0.026725333,-0.005497783,3
30521386575723,0.0013744457,0.024281874,-0.005497783,3
30521388954629,-0.0035124724,0.019394957,-0.0030543238,3
30521391333535,-0.0059559317,0.016951498,-6.108648E-4,3
30521393712494,-0.004734202,0.00962112,6.108648E-4,3
30521396091400,-0.002290743,0.004734202,0.005497783,3
30521398470306,0.0013744457,-0.0013744457,0.009162972,3
30521400849212,0.0025961753,-0.008704823,0.011606431,3
30521403228119,1.527162E-4,-0.012370012,0.0140498895,3
30521405607025,-0.004734202,-0.016035201,0.01527162,3
30521407985931,-0.0059559317,-0.01970039,0.016493348,3
30521410364837,-0.0059559317,-0.020922119,0.018936807,3
30521412743796,-0.0035124724,-0.020922119,0.017715078,3
30521415122702,1.527162E-4,-0.01847866,0.017715078,3
30521417501608,1.527162E-4,-0.014813471,0.01527162,3
30521419880462,1.527162E-4,-0.012370012,0.0140498895,3
30521422259421,-0.002290743,-0.0074830935,0.011606431,3
30521424638327,-0.004734202,-0.0025961753,0.007941242,3
30521427017285,-0.002290743,0.0010690134,0.007941242,3
30521429396191,-0.0010690134,0.008399391,0.005497783,3
30521431775098,1.527162E-4,0.0108428495,0.0030543238,3
30521434154004,1.527162E-4,0.012064579,0.0018325944,3
30521436532910,-0.002290743,0.012064579,0.0018325944,3
30521438911816,-0.002290743,0.013286309,6.108648E-4,3
30521441290723,-0.002290743,0.012064579,0.0030543238,3
30521443669681,-0.002290743,0.0108428495,0.0067195124,3
30521446048587,-0.0010690134,0.007177661,0.009162972,3
30521448427494,-0.002290743,0.0035124724,0.009162972,3
30521450806400,-0.002290743,-1.527162E-4,0.01282816,3
30521453185306,-0.0035124724,-0.006261364,0.01527162,3
30521455564212,-0.0035124724,-0.011148282,0.017715078,3
30521457943119,-0.002290743,-0.014813471,0.020158539,3
30521460322077,-0.002290743,-0.01847866,0.021380268,3
30521462700983,-0.002290743,-0.020922119,0.022601997,3
30521465079889,-0.002290743,-0.022143848,0.025045456,3
30521467458796,-0.002290743,-0.023365578,0.025045456,3
30521469837702,-0.002290743,-0.023365578,0.023823727,3
30521472216608,-0.002290743,-0.022143848,0.025045456,3
30521474595566,-0.0035124724,-0.020922119,0.023823727,3
30521476974473,-0.0010690134,-0.01970039,0.025045456,3
30521479353379,-0.0010690134,-0.01725693,0.022601997,3
30521481732285,-0.0010690134,-0.016035201,0.022601997,3
30521484111191,-0.0035124724,-0.012370012,0.021380268,3
30521486490098,-0.004734202,-0.009926553,0.021380268,3
30521488869004,-0.0035124724,-0.009926553,0.017715078,3
30521491247962,-0.002290743,-0.0050396346,0.017715078,3
30521493626869,-0.002290743,-0.003817905,0.017715078,3
30521496005775,-0.0010690134,-0.0025961753,0.01527162,3
30521498384681,-0.0010690134,-0.0013744457,0.0140498895,3
30521500763587,-0.0010690134,-0.0025961753,0.016493348,3
30521503142494,-0.0010690134,-0.0050396346,0.016493348,3
30521505521400,-0.002290743,-0.006261364,0.016493348,3
30521507900358,-0.0010690134,-0.006261364,0.018936807,3
30521510279264,-0.0010690134,-0.009926553,0.018936807,3
30521512658171,-0.0010690134,-0.014813471,0.021380268,3
30521515037077,-0.0010690134,-0.01847866,0.022601997,3
30521517415983,-0.0035124724,-0.020922119,0.023823727,3
30521519794889,-0.0035124724,-0.024587307,0.026267186,3
30521522173796,-0.0010690134,-0.025809037,0.027488915,3
30521524552754,-0.0010690134,-0.027030766,0.027488915,3
30521526931660,-0.002290743,-0.025809037,0.027488915,3
30521529310566,-0.002290743,-0.024587307,0.026267186,3
30521531689473,-0.0010690134,-0.022143848,0.025045456,3
30521534068379,-0.002290743,-0.01970039,0.022601997,3
30521536447285,1.527162E-4,-0.016035201,0.021380268,3
30521538826191,1.527162E-4,-0.012370012,0.018936807,3
30521541205150,1.527162E-4,-0.0074830935,0.017715078,3
30521543584056,0.0013744457,-0.0050396346,0.01527162,3
30521545962962,1.527162E-4,-0.0025961753,0.01282816,3
30521548341869,0.0013744457,0.0010690134,0.011606431,3
30521550720775,1.527162E-4,0.0010690134,0.011606431,3
30521553099681,0.0013744457,0.002290743,0.010384701,3
30521555478639,1.527162E-4,0.002290743,0.009162972,3
30521557857546,1.527162E-4,0.002290743,0.01282816,3
30521560236452,0.0013744457,0.0010690134,0.011606431,3
30521562615358,0.0013744457,-1.527162E-4,0.0140498895,3
30521564994264,1.527162E-4,-0.003817905,0.01282816,3
30521567373171,1.527162E-4,-0.0050396346,0.016493348,3
30521569752077,1.527162E-4,-0.0074830935,0.017715078,3
30521572131035,1.527162E-4,-0.008704823,0.017715078,3
30521574509941,-0.0010690134,-0.011148282,0.017715078,3
30521576888848,1.527162E-4,-0.012370012,0.017715078,3
30521579267754,0.0013744457,-0.011148282,0.017715078,3
30521581646660,1.527162E-4,-0.009926553,0.017715078,3
30521584025566,1.527162E-4,-0.008704823,0.016493348,3
30521586404473,1.527162E-4,-0.006261364,0.01527162,3
30521588783431,1.527162E-4,-0.0050396346,0.0140498895,3
30521591162337,1.527162E-4,-0.0050396346,0.01282816,3
30521593541244,1.527162E-4,-0.0025961753,0.011606431,3
30521595920150,1.527162E-4,-0.0025961753,0.011606431,3
30521598299056,1.527162E-4,-0.003817905,0.011606431,3
30521600677962,0.0013744457,-0.0013744457,0.01282816,3
30521603056869,1.527162E-4,-0.003817905,0.01282816,3
30521605435827,1.527162E-4,-0.0050396346,0.016493348,3
30521607814733,1.527162E-4,-0.008704823,0.016493348,3
30521610193639,0.0013744457,-0.008704823,0.016493348,3
30521612572546,1.527162E-4,-0.009926553,0.018936807,3
30521614951452,1.527162E-4,-0.011148282,0.018936807,3
30521617330358,0.0013744457,-0.009926553,0.020158539,3
30521619709264,1.527162E-4,-0.011148282,0.018936807,3
30521622088223,-0.002290743,-0.011148282,0.018936807,3
30521624467129,1.527162E-4,-0.0074830935,0.018936807,3
30521626846035,1.527162E-4,-0.006261364,0.017715078,3
30521629224941,1.527162E-4,-0.0050396346,0.018936807,3
30521631603848,1.527162E-4,-0.003817905,0.016493348,3
30521633982754,0.0013744457,-0.0013744457,0.017715078,3
30521636361712,0.0025961753,-0.0013744457,0.017715078,3
30521638740619,0.0025961753,-0.0013744457,0.016493348,3
30521641119525,0.0025961753,0.0010690134,0.016493348,3
30521643498431,0.0025961753,0.002290743,0.016493348,3
30521645877337,0.0025961753,-1.527162E-4,0.016493348,3
30521648256244,0.0013744457,-0.0025961753,0.016493348,3
30521650635150,0.0013744457,-0.003817905,0.016493348,3
30521653014108,0.0025961753,-0.0050396346,0.018936807,3
30521655393014,0.0025961753,-0.008704823,0.021380268,3
30521657771921,0.0025961753,-0.011148282,0.022601997,3
30521660150827,0.0025961753,-0.014813471,0.023823727,3
30521662529733,0.0013744457,-0.016035201,0.023823727,3
30521664908639,0.0013744457,-0.01847866,0.023823727,3
30521667287546,0.0025961753,-0.01970039,0.027488915,3
30521669666504,0.0025961753,-0.01847866,0.027488915,3
30521672045410,0.0013744457,-0.01725693,0.027488915,3
