t_ns,ax,ay,az,accuracy
30767974181881,0.05742774,9.111869,3.737589,3
30767976560787,0.14356937,9.12144,3.7280176,3
30767978939693,0.17706887,9.102298,3.790231,3
30767981318599,0.18664017,9.078369,3.8285162,3
30767983697558,0.17228323,9.078369,3.8763726,3
30767986076464,0.11485548,9.08794,3.8476589,3
30767988455422,0.07178468,9.083155,3.8093736,3
30767990834329,0.023928227,9.102298,3.7663028,3
30767993213235,-0.06699903,9.12144,3.7663028,3
30767995592141,-0.14356937,9.116654,3.790231,3
30767997971047,-0.23449662,9.12144,3.8380876,3
30768000350006,-0.30149564,9.135797,3.8620157,3
30768002728912,-0.34456646,9.15494,3.8524444,3
30768005107870,-0.4019942,9.135797,3.8237305,3
30768007486777,-0.41635114,9.150154,3.7806597,3
30768009865683,-0.39720857,9.126225,3.7710886,3
30768012244589,-0.3684947,9.140582,3.8093736,3
30768014623547,-0.29192436,9.140582,3.8380876,3
30768017002454,-0.19621146,9.135797,3.8333018,3
30768019381360,-0.09092726,9.150154,3.8333018,3
30768021760318,0.0,9.140582,3.7998023,3
30768024139224,0.11006984,9.140582,3.751946,3
30768026518131,0.2009971,9.111869,3.7328033,3
30768028897037,0.31585258,9.08794,3.7471602,3
30768031275995,0.39720857,9.08794,3.7615173,3
30768033654902,0.42592242,9.092726,3.7854455,3
30768036033808,0.44985065,9.102298,3.7854455,3
30768038412766,0.4642076,9.097511,3.7758741,3
30768040791672,0.4833502,9.092726,3.751946,3
30768043170579,0.43070808,9.102298,3.7423747,3
30768045549537,0.4019942,9.135797,3.7423747,3
30768047928443,0.36370903,9.15494,3.7471602,3
30768050307349,0.31106696,9.169296,3.7663028,3
30768052686256,0.26799613,9.183653,3.7710886,3
30768055065214,0.21535404,9.188439,3.751946,3
30768057444120,0.17228323,9.202796,3.7280176,3
30768059823027,0.124426775,9.217153,3.7184465,3
30768062201933,0.1052842,9.226724,3.7328033,3
30768064580891,0.11964113,9.2075815,3.7423747,3
30768066959797,0.11006984,9.221938,3.7280176,3
30768069338704,0.17228323,9.23151,3.737589,3
30768071717610,0.23928227,9.19801,3.7423747,3
30768074096568,0.29671,9.2075815,3.7328033,3
30768076475474,0.44985065,9.217153,3.6897326,3
30768078854433,0.56470615,9.2075815,3.7088752,3
30768081233339,0.67477596,9.164511,3.6897326,3
30768083612245,0.76570326,9.145369,3.694518,3
30768085991152,0.89013004,9.145369,3.7136607,3
30768088370110,0.94755775,9.159725,3.694518,3
30768090749016,1.0001999,9.164511,3.6801612,3
30768093127922,1.0097711,9.150154,3.6610186,3
30768095506881,0.971486,9.174082,3.6610186,3
30768097885787,0.91884387,9.193225,3.6658044,3
30768100264693,0.8662018,9.212367,3.6849468,3
30768102643599,0.7896315,9.202796,3.6801612,3
30768105022558,0.6987042,9.178867,3.6897326,3
30768107401464,0.61734825,9.202796,3.7088752,3
30768109780370,0.52163535,9.188439,3.7136607,3
30768112159329,0.42592242,9.164511,3.7136607,3
30768114538235,0.38763726,9.159725,3.7423747,3
30768116917141,0.3493521,9.140582,3.7471602,3
30768119296099,0.31585258,9.131011,3.7567315,3
30768121675006,0.26799613,9.12144,3.7663028,3
30768124053912,0.25842485,9.107083,3.7615173,3
