t_ns,qx,qy,qz,qw
31150634999088,0.34108874,0.43571997,0.55679363,0.6195058
31150639756745,0.34666917,0.43108723,0.5602859,0.6164933
31150644514453,0.35417232,0.42569676,0.5644348,0.61217445
31150649272161,0.36124113,0.4191194,0.5692316,0.6081276
31150654029818,0.36751255,0.41306326,0.573585,0.6044117
31150658787526,0.37270153,0.40865728,0.5768319,0.6011304
31150663545234,0.3758988,0.40602532,0.57883424,0.59899455
31150668302943,0.3768952,0.40495878,0.57969344,0.59825903
31150673060651,0.37647,0.40562597,0.57938355,0.598375
31150677818359,0.3750966,0.4073714,0.57830405,0.5990956
31150682576016,0.37304175,0.40934038,0.57695335,0.60033756
31150687333724,0.37109178,0.41128364,0.57557845,0.6015364
31150692091432,0.36972582,0.4128196,0.5744385,0.6024145
31150696849141,0.3690961,0.41359115,0.57380456,0.60287535
31150701606797,0.36911535,0.4135337,0.5737333,0.6029708
31150706364505,0.36986414,0.41296408,0.5740755,0.6025765
31150711122213,0.37102395,0.4120869,0.5746919,0.60187614
31150715879922,0.3721979,0.41108814,0.57542163,0.6011366
31150720637578,0.37311158,0.4103338,0.5760294,0.6005031
31150725395286,0.37357458,0.4100493,0.57634044,0.60011107
31150730152995,0.37351188,0.4102607,0.57630473,0.60003996
31150734910703,0.37300813,0.41082105,0.57599396,0.60026824
31150739668359,0.37222788,0.41156635,0.5755034,0.60071236
31150744426068,0.37139556,0.41238996,0.5749168,0.60122424
31150749183724,0.37070897,0.41303024,0.57441247,0.60169035
31150753941432,0.37022027,0.41337973,0.5740751,0.6020731
31150758699141,0.37007543,0.41335145,0.5739928,0.60225993
31150763456849,0.3702132,0.41307634,0.5741034,0.60225856
31150768214557,0.37055,0.4126397,0.57436454,0.60210174
31150772972266,0.3709269,0.4122109,0.57466394,0.6018776
31150777729922,0.3712183,0.41185108,0.57494646,0.60167456
31150782487630,0.3713274,0.4117003,0.5751035,0.60156024
31150787245338,0.37122178,0.41175827,0.5751161,0.6015737
31150792003047,0.37094393,0.41199377,0.574987,0.60170734
31150796760703,0.37057462,0.41231987,0.57477087,0.601918
31150801518411,0.3702141,0.41267547,0.57451695,0.60213846
31150806276120,0.3699635,0.41294587,0.5742947,0.60231906
31150811033776,0.36982596,0.4131145,0.5741295,0.60244536
31150815791484,0.36982295,0.41315597,0.57405597,0.60248893
31150820549193,0.36994004,0.4130908,0.5740723,0.6024462
31150825306901,0.37010577,0.4129765,0.5741598,0.6023393
31150830064609,0.37028784,0.41284966,0.57425666,0.602222
31150834822266,0.3703858,0.41279694,0.5743309,0.6021271
31150839579974,0.37036958,0.4128398,0.5743446,0.6020947
