t_ns,ax,ay,az
31150630241380,0.0,0.0,0.0
31150634999088,0.10230029,-0.033683777,0.048694372
31150639756745,0.34273446,-0.019536972,-0.025579691
31150644514453,0.65235627,-0.0058841705,-0.08983278
31150649272161,0.9119652,-0.027815819,-0.012933254
31150654029818,1.0341604,-0.041187286,-0.004901409
31150658787526,0.9835322,-0.014762878,-0.067712545
31150663545234,0.71827817,-0.008653641,-0.061184168
31150668302943,0.31819254,-0.01404953,0.011896372
31150673060651,-0.113247156,0.019706726,-0.032096624
31150677818359,-0.47690672,0.046263695,-0.05732107
31150682576016,-0.7233553,0.016115189,0.008964777
31150687333724,-0.78949773,0.030338287,-0.005027294
31150692091432,-0.6658636,0.010342598,-0.05370736
31150696849141,-0.38499528,0.011820793,-0.043738365
31150701606797,-0.04495734,-0.031630516,-0.00539732
31150706364505,0.30701464,-0.027581215,-0.057112932
31150711122213,0.56476307,-0.021543503,-0.083455086
31150715879922,0.6737822,-0.04530239,-0.06094861
31150720637578,0.58719176,-0.020256042,-0.048643112
31150725395286,0.33605975,-0.007813454,-0.059802055
31150730152995,-8.736253E-4,0.004096031,-0.056976557
31150734910703,-0.31216884,0.0063257217,-0.029246807
31150739668359,-0.5455477,0.022198677,0.00867033
31150744426068,-0.6660131,0.039728165,0.0013566017
31150749183724,-0.60460806,0.04512596,0.019469976
31150753941432,-0.450368,0.013479233,0.05533433
31150758699141,-0.15015233,-0.012444496,0.07389593
31150763456849,0.10981202,-0.01439476,0.066576004
31150768214557,0.3296545,-0.025513649,0.050396442
31150772972266,0.41187418,-0.031624794,0.025623083
31150777729922,0.3908919,-0.03985405,0.031856775
31150782487630,0.22063491,-0.017730713,0.026475906
31150787245338,-0.0047886968,-0.014825821,0.023528337
31150792003047,-0.22648764,-0.0074033737,0.020704508
31150796760703,-0.38256752,-0.0025596619,0.020249367
31150801518411,-0.444713,0.006808281,-0.005932331
31150806276120,-0.37804985,0.025224686,-0.012839317
31150811033776,-0.27647936,0.019841194,-0.019589663
31150815791484,-0.109947324,0.007630348,-0.028569221
31150820549193,0.06214881,0.012080193,-0.03265047
31150825306901,0.17463613,0.016438484,-0.027231216
31150830064609,0.22680745,0.016057968,-0.028913975
31150834822266,0.15917635,0.036751747,-0.014135599
31150839579974,0.023151994,0.028939247,-0.006691456
31150844337682,-0.117010236,0.028348923,-0.008833885
31150849095391,-0.2616551,0.034804344,0.005404949
31150853853047,-0.32893014,0.04109478,-0.0017256737
31150858610755,-0.3486544,0.026155472,0.0029609203
31150863368463,-0.28652823,0.0021305084,0.0051527023
31150868126120,-0.15558022,-0.028467178,-0.0021033287
