t_ns,mx,my,mz,bx,by,bz
31150627063047,-24.88125,5.86875,19.368752,3.36,13.62,8.16
31150637063047,-26.1,4.0687504,18.9375,3.36,13.62,8.16
31150647063047,-24.393751,5.8125,18.393751,3.36,13.62,8.16
31150657063047,-23.6625,6.2812505,17.6625,3.36,13.62,8.16
31150667063047,-24.4125,5.8125,19.462502,3.36,13.62,8.16
31150677063047,-24.431252,5.7937503,19.78125,3.36,13.62,8.16
31150687063047,-27.000002,5.08125,18.712502,3.36,13.62,8.16
31150697063047,-22.5375,6.43125,17.53125,3.36,13.62,8.16
31150707063047,-25.9125,4.59375,20.90625,3.36,13.62,8.16
31150717063047,-27.937502,3.9562502,22.237501,3.36,13.62,8.16
31150727063047,-25.837502,3.8625002,19.3875,3.36,13.62,8.16
31150737063047,-25.85625,5.6062503,19.331251,3.36,13.62,8.16
31150747063047,-26.587502,4.2562504,20.53125,3.36,13.62,8.16
31150757063047,-26.625002,4.7625003,19.9125,3.36,13.62,8.16
31150767063047,-25.35,5.0437503,20.362501,3.36,13.62,8.16
31150777063047,-25.518751,4.14375,21.018751,3.36,13.62,8.16
31150787063047,-24.525002,5.4187503,20.56875,3.36,13.62,8.16
31150797063047,-25.7625,4.36875,19.96875,3.36,13.62,8.16
31150807063047,-25.81875,5.86875,19.63125,3.36,13.62,8.16
31150817063047,-25.275002,6.05625,18.337502,3.36,13.62,8.16
31150827063047,-26.04375,4.33125,18.9375,3.36,13.62,8.16
31150837063047,-25.95,5.9812503,19.48125,3.36,13.62,8.16
31150847063047,-25.837502,3.8625002,19.3875,3.36,13.62,8.16
31150857063047,-25.63125,6.01875,19.7625,3.36,13.62,8.16
31150867063047,-24.900002,5.6062503,18.6,3.36,13.62,8.16
31150877063047,-24.45,5.7937503,20.23125,3.36,13.62,8.16
31150887063047,-24.843752,5.11875,19.21875,3.36,13.62,8.16
31150897063047,-25.06875,3.5812502,18.225,3.36,13.62,8.16
31150907063047,-24.975,4.96875,17.868752,3.36,13.62,8.16
31150917063047,-26.362501,6.1687503,19.06875,3.36,13.62,8.16
31150927063047,-25.312502,5.30625,20.34375,3.36,13.62,8.16
31150937063047,-25.44375,5.15625,18.675001,3.36,13.62,8.16
31150947063047,-24.6,5.6625004,19.331251,3.36,13.62,8.16
31150957063047,-26.831251,5.3625,19.612501,3.36,13.62,8.16
31150967063047,-23.1,6.1125,18.69375,3.36,13.62,8.16
31150977063047,-25.2,5.9437504,20.325,3.36,13.62,8.16
31150987063047,-24.843752,5.3812504,20.60625,3.36,13.62,8.16
31150997063047,-25.931252,4.21875,19.5375,3.36,13.62,8.16
31151007063047,-23.7,3.7687502,20.5125,3.36,13.62,8.16
31151017063047,-25.725,4.74375,20.71875,3.36,13.62,8.16
31151027063047,-25.06875,7.2187505,17.8125,3.36,13.62,8.16
31151037063047,-27.018751,4.4437504,20.737501,3.36,13.62,8.16
31151047063047,-24.975,5.2312503,19.3875,3.36,13.62,8.16
31151057063047,-25.031252,4.96875,19.706251,3.36,13.62,8.16
31151067063047,-26.04375,5.71875,20.8875,3.36,13.62,8.16
31151077063047,-25.575,5.64375,20.681252,3.36,13.62,8.16
31151087063047,-26.587502,4.2562504,20.85,3.36,13.62,8.16
31151097063047,-25.237501,5.7000003,20.325,3.36,13.62,8.16
31151107063047,-25.706251,4.2562504,22.275002,3.36,13.62,8.16
31151117063047,-26.587502,4.2562504,20.85,3.36,13.62,8.16
31151127063047,-26.493752,5.64375,20.175001,3.36,13.62,8.16
31151137063047,-26.681252,4.74375,21.300001,3.36,13.62,8.16
31151147063047,-24.2625,5.9437504,19.893751,3.36,13.62,8.16
31151157063047,-25.06875,4.70625,19.725,3.36,13.62,8.16
31151167063047,-24.35625,5.0625,18.5625,3.36,13.62,8.16
31151177063047,-24.843752,5.11875,19.5375,3.36,13.62,8.16
31151187063047,-24.0,4.4812503,18.84375,3.36,13.62,8.16
31151197063047,-24.956251,4.4812503,19.575,3.36,13.62,8.16
31151207063047,-24.73125,6.01875,20.56875,3.36,13.62,8.16
31151217063047,-25.593752,5.26875,19.3125,3.36,13.62,8.16
31151227063047,-24.862501,5.86875,18.900002,3.36,13.62,8.16
31151237063047,-26.1,4.8187504,18.0,3.36,13.62,8.16
31151247063047,-25.575,4.65,20.1,3.36,13.62,8.16
31151257063047,-26.118752,5.08125,19.837502,3.36,13.62,8.16
31151267063047,-25.7625,4.36875,19.96875,3.36,13.62,8.16
31151277063047,-25.612501,3.5062501,20.4375,3.36,13.62,8.16
31151287063047,-24.956251,5.6062503,20.75625,3.36,13.62,8.16
31151297063047,-26.325,3.6562502,19.143751,3.36,13.62,8.16
31151307063047,-24.431252,4.2937503,21.35625,3.36,13.62,8.16
31151317063047,-26.79375,5.11875,21.91875,3.36,13.62,8.16
31151327063047,-24.6375,5.26875,18.900002,3.36,13.62,8.16
31151337063047,-26.531252,4.65,20.831251,3.36,13.62,8.16
31151347063047,-25.518751,6.1687503,21.431252,3.36,13.62,8.16
31151357063047,-24.16875,5.2125,18.375,3.36,13.62,8.16
31151367063047,-25.462502,6.1687503,19.893751,3.36,13.62,8.16
31151377063047,-25.44375,5.15625,18.993752,3.36,13.62,8.16
31151387063047,-24.2625,5.7000003,18.84375,3.36,13.62,8.16
31151397063047,-27.375002,5.90625,20.118752,3.36,13.62,8.16
31151407063047,-26.718752,5.86875,18.806252,3.36,13.62,8.16
31151417063047,-27.225,4.18125,20.60625,3.36,13.62,8.16
31151427063047,-26.5125,4.65,20.5125,3.36,13.62,8.16
31151437063047,-26.04375,5.71875,20.8875,3.36,13.62,8.16
31151447063047,-25.725,5.5125003,19.48125,3.36,13.62,8.16
31151457063047,-25.5375,5.90625,20.6625,3.36,13.62,8.16
31151467063047,-25.368752,4.8,19.29375,3.36,13.62,8.16
31151477063047,-24.393751,5.30625,20.7,3.36,13.62,8.16
31151487063047,-24.393751,5.0625,19.331251,3.36,13.62,8.16
31151497063047,-24.393751,5.0625,19.331251,3.36,13.62,8.16
31151507063047,-25.518751,4.65,18.393751,3.36,13.62,8.16
31151517063047,-24.73125,4.36875,17.25,3.36,13.62,8.16
31151527063047,-23.681252,5.53125,19.3875,3.36,13.62,8.16
31151537063047,-23.643751,3.7687502,18.65625,3.36,13.62,8.16
31151547063047,-24.975,4.21875,18.806252,3.36,13.62,8.16
31151557063047,-24.712502,5.7562504,18.431252,3.36,13.62,8.16
31151567063047,-23.8125,5.0062504,20.493752,3.36,13.62,8.16
