t_ns,mx,my,mz,bx,by,bz
31767140010733,35.68125,14.118751,12.843751,3.24,13.62,8.76
31767150010733,36.581253,16.63125,11.887501,3.24,13.62,8.76
31767160010733,38.4375,16.5,11.681251,3.24,13.62,8.76
31767170010733,37.66875,15.637501,11.64375,3.24,13.62,8.76
31767180010733,35.68125,14.118751,12.843751,3.24,13.62,8.76
31767190010733,37.85625,16.5375,10.81875,3.24,13.62,8.76
31767200010733,37.4625,15.225,11.53125,3.24,13.62,8.76
31767210010733,36.54375,15.243751,11.025001,3.24,13.62,8.76
31767220010733,36.862503,15.281251,10.9875,3.24,13.62,8.76
31767230010733,36.54375,16.612501,13.275001,3.24,13.62,8.76
31767240010733,35.006252,15.0375,14.118751,3.24,13.62,8.76
31767250010733,34.6875,14.868751,13.2375,3.24,13.62,8.76
31767260010733,35.04375,14.793751,11.512501,3.24,13.62,8.76
31767270010733,36.487503,15.975,11.925,3.24,13.62,8.76
31767280010733,35.325,13.81875,12.431251,3.24,13.62,8.76
31767290010733,36.16875,15.187501,12.450001,3.24,13.62,8.76
31767300010733,36.75,15.76875,11.90625,3.24,13.62,8.76
31767310010733,37.55625,15.13125,12.750001,3.24,13.62,8.76
31767320010733,37.5,12.731251,12.056251,3.24,13.62,8.76
31767330010733,37.875,16.181252,12.825001,3.24,13.62,8.76
31767340010733,38.381252,15.225,11.868751,3.24,13.62,8.76
31767350010733,36.975002,17.175001,12.13125,3.24,13.62,8.76
31767360010733,35.41875,14.08125,11.043751,3.24,13.62,8.76
31767370010733,36.393753,14.962501,14.26875,3.24,13.62,8.76
31767380010733,36.1875,14.437501,13.087501,3.24,13.62,8.76
31767390010733,36.131252,14.175,13.406251,3.24,13.62,8.76
31767400010733,37.162502,14.700001,12.806251,3.24,13.62,8.76
31767410010733,35.90625,15.656251,13.387501,3.24,13.62,8.76
31767420010733,36.16875,14.175,12.31875,3.24,13.62,8.76
31767430010733,36.45,14.981251,12.4125,3.24,13.62,8.76
31767440010733,35.643753,14.868751,12.975,3.24,13.62,8.76
31767450010733,36.6375,15.375001,13.312501,3.24,13.62,8.76
31767460010733,37.3125,15.6,13.06875,3.24,13.62,8.76
31767470010733,35.550003,13.968751,11.175,3.24,13.62,8.76
31767480010733,36.581253,15.4875,11.00625,3.24,13.62,8.76
31767490010733,36.6375,14.868751,10.875,3.24,13.62,8.76
31767500010733,37.59375,15.13125,11.6625,3.24,13.62,8.76
31767510010733,37.893753,16.425001,13.89375,3.24,13.62,8.76
31767520010733,37.143753,14.700001,13.425,3.24,13.62,8.76
31767530010733,35.643753,14.868751,12.975,3.24,13.62,8.76
31767540010733,35.1375,14.681251,12.900001,3.24,13.62,8.76
31767550010733,36.91875,15.918751,12.337501,3.24,13.62,8.76
31767560010733,36.24375,16.087502,14.56875,3.24,13.62,8.76
31767570010733,37.29375,15.093751,11.25,3.24,13.62,8.76
31767580010733,36.61875,15.4875,9.9375,3.24,13.62,8.76
31767590010733,37.425003,15.4875,13.668751,3.24,13.62,8.76
31767600010733,36.84375,16.275002,11.868751,3.24,13.62,8.76
31767610010733,35.568752,14.475,12.993751,3.24,13.62,8.76
31767620010733,36.28125,14.08125,12.918751,3.24,13.62,8.76
31767630010733,37.59375,15.375001,12.731251,3.24,13.62,8.76
31767640010733,36.16875,14.175,12.31875,3.24,13.62,8.76
31767650010733,39.6375,15.281251,11.56875,3.24,13.62,8.76
31767660010733,36.206253,14.812501,14.45625,3.24,13.62,8.76
31767670010733,36.45,15.975,13.012501,3.24,13.62,8.76
31767680010733,36.24375,14.08125,14.00625,3.24,13.62,8.76
31767690010733,36.131252,15.187501,13.51875,3.24,13.62,8.76
31767700010733,35.475002,14.718751,12.39375,3.24,13.62,8.76
31767710010733,36.393753,14.587501,12.13125,3.24,13.62,8.76
31767720010733,36.15,15.187501,12.918751,3.24,13.62,8.76
31767730010733,36.7125,15.01875,13.931251,3.24,13.62,8.76
31767740010733,35.7,15.88125,11.25,3.24,13.62,8.76
31767750010733,35.49375,15.225,14.531251,3.24,13.62,8.76
31767760010733,34.800003,13.875001,14.493751,3.24,13.62,8.76
31767770010733,36.3375,15.075001,11.6625,3.24,13.62,8.76
31767780010733,34.350002,13.81875,13.781251,3.24,13.62,8.76
31767790010733,34.95,14.400001,12.618751,3.24,13.62,8.76
31767800010733,36.300003,15.075001,12.750001,3.24,13.62,8.76
31767810010733,36.393753,15.731251,13.012501,3.24,13.62,8.76
31767820010733,35.456253,14.962501,14.531251,3.24,13.62,8.76
31767830010733,36.768753,16.03125,12.975,3.24,13.62,8.76
31767840010733,36.43125,15.975,13.312501,3.24,13.62,8.76
31767850010733,36.6375,14.118751,11.8125,3.24,13.62,8.76
31767860010733,36.0,14.55,14.325001,3.24,13.62,8.76
31767870010733,36.28125,14.83125,12.3,3.24,13.62,8.76
31767880010733,36.768753,15.525001,14.981251,3.24,13.62,8.76
31767890010733,37.800003,15.525001,12.093751,3.24,13.62,8.76
31767900010733,36.018753,16.181252,12.750001,3.24,13.62,8.76
31767910010733,36.54375,13.856251,13.200001,3.24,13.62,8.76
31767920010733,36.300003,16.35,14.231251,3.24,13.62,8.76
31767930010733,35.943752,14.025001,13.575001,3.24,13.62,8.76
31767940010733,35.775,14.75625,13.125001,3.24,13.62,8.76
31767950010733,35.737503,14.75625,14.19375,3.24,13.62,8.76
31767960010733,38.362503,15.4875,13.70625,3.24,13.62,8.76
31767970010733,37.068752,14.925,12.187501,3.24,13.62,8.76
