t_ns,wall_ms,batt_pct,charging,batt_temp_c,thermal_status,rotation,free_bytes
32149919562286,1788562096093,30,false,29.8,0,0,6041964544
32154950598950,1788562101124,30,false,29.8,0,0,6069575680
32160030162698,1788562106204,30,false,29.8,0,0,6065713152
32165072780301,1788562111247,30,false,29.8,0,0,6063616000
32170155810143,1788562116330,30,false,29.8,0,0,6060908544
32175238068630,1788562121412,30,false,29.8,0,0,6059941888
32180283450087,1788562126457,30,false,29.8,0,0,6059020288
32185361933418,1788562131536,30,false,29.8,0,0,6055710720
32190407208989,1788562136581,30,false,29.8,0,0,6054289408
32195488622997,1788562141662,30,false,29.8,0,0,6053347328
32200569794610,1788562146744,30,false,29.8,0,0,6052343808
32205613993775,1788562151788,30,false,29.8,0,0,6051274752
32210695324033,1788562156869,30,false,29.8,0,0,6050324480
32215738649761,1788562161912,30,false,29.8,0,0,6046797824
32220822426998,1788562166996,30,false,29.8,0,0,6039797760
32225869942413,1788562172044,30,false,29.8,0,0,6034157568
32230947311109,1788562177121,30,false,29.8,0,0,6030745600
32235990464024,1788562182164,30,false,29.8,0,0,6028763136
32241076142980,1788562187250,30,false,29.8,0,0,6027792384
32246156529228,1788562192330,30,false,29.8,0,0,6026858496
32251201616049,1788562197375,30,false,29.8,0,0,6023467008
32256247061464,1788562202421,30,false,29.8,0,0,6021337088
32261264003233,1788562207438,30,false,29.8,0,0,6020292608
32266282809220,1788562212457,30,false,29.8,0,0,6019338240
32271300911614,1788562217475,30,false,29.8,0,0,6018228224
32276318160102,1788562222492,30,false,29.8,0,0,6017220608
32281367312392,1788562227541,30,false,29.8,0,0,6016274432
32286412509629,1788562232586,30,false,29.8,0,0,6015328256
32291456070409,1788562237630,30,false,29.8,0,0,6042951680
32296476575042,1788562242650,30,false,29.8,0,0,6039425024
32301492705770,1788562247667,30,false,29.8,0,0,6036099072
32306515035768,1788562252689,30,false,29.8,0,0,6031867904
32311536937016,1788562257711,30,false,29.8,0,0,6026387456
32316552382170,1788562262726,30,false,29.8,0,0,6021668864
32321588093887,1788562267762,30,false,29.8,0,0,6015688704
32326609783052,1788562272784,29,false,29.6,0,0,6009868288
32331631251591,1788562277805,29,false,29.6,0,0,6006390784
32336650005912,1788562282824,29,false,29.6,0,0,6033252352
32341670044921,1788562287844,29,false,29.6,0,0,6030643200
32346701998565,1788562292876,29,false,29.6,0,0,6025768960
32351744178302,1788562297918,29,false,29.6,0,0,6023503872
32356751318613,1788562302925,29,false,29.6,0,0,6022541312
32361760757257,1788562307935,29,false,29.6,0,0,6021562368
32366769994182,1788562312944,29,false,29.6,0,0,6015528960
32371780684701,1788562317955,29,false,29.6,0,0,6013337600
32376798280168,1788562322972,29,false,29.6,0,0,6009466880
32381815561833,1788562327989,29,false,29.6,0,0,6005424128
