t_ns,qx,qy,qz,qw
32580546189632,0.36489224,0.42106327,0.5680432,0.6057115
32580550947341,0.36732894,0.420241,0.5687155,0.6041768
32580555704997,0.36906773,0.41816658,0.5701691,0.6031857
32580560462705,0.37120658,0.41587016,0.57179785,0.6019177
32580565220362,0.37353167,0.41428778,0.5729807,0.60044384
32580569978070,0.37516034,0.4127957,0.5740612,0.5994231
32580574735726,0.37615916,0.41162014,0.5749167,0.59878546
32580579493382,0.37664974,0.41119012,0.575267,0.59843594
32580584251091,0.3766798,0.4113382,0.5752118,0.5983682
32580589008799,0.37617236,0.4116327,0.57501745,0.59867173
32580593766455,0.375473,0.41200116,0.57473165,0.5991315
32580598524112,0.37487656,0.41248074,0.5743809,0.59951127
32580603281820,0.37447366,0.41274044,0.5741612,0.5997948
32580608039528,0.37433738,0.4127076,0.57413983,0.59992296
32580612797185,0.37451288,0.41250944,0.5742498,0.5998444
32580617554841,0.37489685,0.41214854,0.5744912,0.5996213
32580622312549,0.37524268,0.41171262,0.5747962,0.59941214
32580627070205,0.37560293,0.411322,0.5750727,0.5991895
32580631827914,0.3758388,0.4110954,0.57526386,0.59901357
32580636585570,0.37581596,0.4110528,0.5753274,0.59899616
32580641343278,0.37561184,0.41112772,0.57529646,0.59910244
32580646100987,0.37535337,0.41126102,0.5751929,0.5992723
32580650858643,0.37507772,0.4114913,0.57502574,0.59944725
32580655616299,0.37488306,0.41166016,0.5748889,0.59958434
32580660374007,0.3747828,0.41170973,0.57482296,0.5996762
32580665131664,0.37481433,0.4116472,0.5748348,0.599688
32580669889372,0.37498018,0.41150004,0.5749168,0.59960675
32580674647080,0.3751913,0.41128284,0.5750608,0.5994856
32580679404737,0.37546113,0.41104618,0.5752316,0.5993151
32580684162445,0.3757168,0.41086873,0.5753633,0.5991502
32580688920101,0.37587178,0.4107389,0.5754817,0.5990283
32580693677810,0.37592295,0.41070995,0.5755297,0.5989698
32580698435466,0.375916,0.4107813,0.5754834,0.59896976
32580703193174,0.37587747,0.41091102,0.5753974,0.5989876
32580707950830,0.37579688,0.41103995,0.5753089,0.5990346
32580712708539,0.37574303,0.41116855,0.5752058,0.5990792
32580717466195,0.375759,0.41120958,0.57515436,0.5990904
32580722223903,0.3758451,0.41116956,0.5751601,0.59905833
32580726981560,0.37600097,0.41106611,0.57521516,0.59897864
32580731739268,0.37620363,0.41094872,0.5752923,0.5988579
32580736496924,0.37637952,0.4108418,0.5753731,0.5987431
32580741254632,0.37654433,0.41074795,0.57544464,0.5986351
32580746012289,0.37662175,0.410692,0.57548594,0.59858507
32580750769997,0.3766457,0.4106774,0.5754969,0.59856945
32580755527653,0.37662652,0.41070923,0.5754751,0.5985806
32580760285362,0.37659627,0.41077036,0.57543373,0.59859747
32580765043018,0.37656382,0.41083246,0.5753916,0.59861577
32580769800726,0.37655953,0.41084725,0.5753619,0.59863687
32580774558382,0.3765728,0.41081378,0.5753618,0.5986516
32580779316091,0.3766311,0.4107489,0.57538533,0.59863687
32580784073747,0.37670806,0.41067204,0.57543993,0.5985887
32580788831403,0.37678885,0.4105863,0.5755006,0.59853834
32580793589112,0.37685695,0.41050035,0.57556033,0.5984969
32580798346820,0.37688515,0.41046372,0.5755859,0.59847975
32580803104476,0.3768593,0.4104693,0.57559854,0.59848005
32580807862185,0.37680268,0.41051587,0.5755647,0.5985162
32580812619841,0.37672144,0.41058323,0.5755159,0.59856814
32580817377549,0.37663716,0.41064617,0.5754697,0.5986224
32580822135205,0.3765591,0.4106951,0.57543296,0.5986732
32580826892862,0.37654212,0.41068706,0.5754196,0.5987023
32580831650570,0.37655234,0.41063568,0.575435,0.5987163
32580836408226,0.3765876,0.41057035,0.5754793,0.5986963
32580841165935,0.37665993,0.41047865,0.57554317,0.5986523
32580845923643,0.37672985,0.41038367,0.57560897,0.59861016
32580850681299,0.37679923,0.41029707,0.5756693,0.59856784
32580855439007,0.3768402,0.41023555,0.5757116,0.5985435
32580860196664,0.37685043,0.41020232,0.5757507,0.5985223
32580864954320,0.3768304,0.41018784,0.57575864,0.59853727
32580869712028,0.37680432,0.4101806,0.5757614,0.59855586
32580874469737,0.37677574,0.4101732,0.57576436,0.5985762
32580879227341,0.37675053,0.41016603,0.57576716,0.5985942
32580883985101,0.37673587,0.41015053,0.5757761,0.59860545
32580888742757,0.37674817,0.4101168,0.57579863,0.5985992
32580893500466,0.37677443,0.41007963,0.57582426,0.5985835
32580898258122,0.37679324,0.41004875,0.57584524,0.5985725
32580903015830,0.37678635,0.41004473,0.5758587,0.5985668
32580907773487,0.37675887,0.4100484,0.5758681,0.59857243
32580912531195,0.37671626,0.41007423,0.5758649,0.59858465
32580917288851,0.37665975,0.4101074,0.57585406,0.59860796
32580922046560,0.3766045,0.4101621,0.5758152,0.5986426
32580926804216,0.37655023,0.41021267,0.57577914,0.59867686
32580931561924,0.3765139,0.41025117,0.5757519,0.59869945
32580936319580,0.37648883,0.41026586,0.5757408,0.59871584
32580941077289,0.37647554,0.41026378,0.57574123,0.5987252
32580945834945,0.3764739,0.41024524,0.57575303,0.59872764
32580950592653,0.37647834,0.4102289,0.57576376,0.5987257
32580955350310,0.37648228,0.41022268,0.575768,0.59872335
32580960108018,0.37645638,0.4102401,0.5757726,0.5987233
32580964865674,0.37640283,0.41027245,0.5757634,0.5987436
32580969623382,0.37633565,0.41031855,0.57574123,0.5987755
32580974381039,0.37626973,0.41036916,0.57570434,0.59881777
32580979138695,0.37620294,0.41041684,0.5756692,0.59886086
