t_ns,gx,gy,gz,bx,by,bz
32580530739632,-0.010995566,0.028099779,-0.0036651888,-0.01282271,-2.5179988E-4,0.0061659147
32580533118435,-0.013439025,0.021991132,-0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580535497289,-0.013439025,0.015882485,0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580537876143,-0.013439025,0.008552107,0.0061086477,-0.01282271,-2.5179988E-4,0.0061659147
32580540254997,-0.013439025,-0.0012217296,0.010995566,-0.01282271,-2.5179988E-4,0.0061659147
32580542633747,-0.010995566,-0.008552107,0.015882485,-0.01282271,-2.5179988E-4,0.0061659147
32580545012653,-0.010995566,-0.017104214,0.019547673,-0.01282271,-2.5179988E-4,0.0061659147
32580547391507,-0.013439025,-0.02443459,0.023212861,-0.01282271,-2.5179988E-4,0.0061659147
32580549770362,-0.014660755,-0.02932151,0.02565632,-0.01282271,-2.5179988E-4,0.0061659147
32580552149216,-0.014660755,-0.03176497,0.02687805,-0.01282271,-2.5179988E-4,0.0061659147
32580554527966,-0.014660755,-0.03176497,0.02687805,-0.01282271,-2.5179988E-4,0.0061659147
32580556906872,-0.012217295,-0.02932151,0.02687805,-0.01282271,-2.5179988E-4,0.0061659147
32580559285726,-0.010995566,-0.02565632,0.02565632,-0.01282271,-2.5179988E-4,0.0061659147
32580561664580,-0.012217295,-0.019547673,0.023212861,-0.01282271,-2.5179988E-4,0.0061659147
32580564043330,-0.012217295,-0.014660755,0.019547673,-0.01282271,-2.5179988E-4,0.0061659147
32580566422237,-0.013439025,-0.0061086477,0.015882485,-0.01282271,-2.5179988E-4,0.0061659147
32580568801091,-0.013439025,0.0,0.012217295,-0.01282271,-2.5179988E-4,0.0061659147
32580571179945,-0.013439025,0.0073303776,0.0073303776,-0.01282271,-2.5179988E-4,0.0061659147
32580573558747,-0.010995566,0.013439025,0.0036651888,-0.01282271,-2.5179988E-4,0.0061659147
32580575937601,-0.010995566,0.018325943,0.0012217296,-0.01282271,-2.5179988E-4,0.0061659147
32580578316455,-0.010995566,0.021991132,-0.0012217296,-0.01282271,-2.5179988E-4,0.0061659147
32580580695257,-0.010995566,0.02565632,-0.0012217296,-0.01282271,-2.5179988E-4,0.0061659147
32580583074112,-0.012217295,0.02443459,-0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580585452966,-0.013439025,0.021991132,-0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580587831820,-0.012217295,0.019547673,0.0,-0.01282271,-2.5179988E-4,0.0061659147
32580590210674,-0.010995566,0.015882485,0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580592589476,-0.012217295,0.008552107,0.0061086477,-0.01282271,-2.5179988E-4,0.0061659147
32580594968330,-0.010995566,0.0012217296,0.010995566,-0.01282271,-2.5179988E-4,0.0061659147
32580597347185,-0.012217295,-0.0048869182,0.013439025,-0.01282271,-2.5179988E-4,0.0061659147
32580599725987,-0.013439025,-0.0097738365,0.017104214,-0.01282271,-2.5179988E-4,0.0061659147
32580602104841,-0.013439025,-0.017104214,0.019547673,-0.01282271,-2.5179988E-4,0.0061659147
32580604483695,-0.013439025,-0.020769402,0.021991132,-0.01282271,-2.5179988E-4,0.0061659147
32580606862549,-0.012217295,-0.02443459,0.02443459,-0.01282271,-2.5179988E-4,0.0061659147
32580609241403,-0.010995566,-0.02565632,0.02443459,-0.01282271,-2.5179988E-4,0.0061659147
32580611620205,-0.010995566,-0.02443459,0.02443459,-0.01282271,-2.5179988E-4,0.0061659147
32580613999060,-0.012217295,-0.021991132,0.023212861,-0.01282271,-2.5179988E-4,0.0061659147
32580616377914,-0.013439025,-0.018325943,0.020769402,-0.01282271,-2.5179988E-4,0.0061659147
32580618756716,-0.013439025,-0.012217295,0.018325943,-0.01282271,-2.5179988E-4,0.0061659147
32580621135570,-0.012217295,-0.0073303776,0.015882485,-0.01282271,-2.5179988E-4,0.0061659147
32580623514424,-0.010995566,0.0,0.012217295,-0.01282271,-2.5179988E-4,0.0061659147
32580625893278,-0.010995566,0.0048869182,0.0097738365,-0.01282271,-2.5179988E-4,0.0061659147
32580628272080,-0.010995566,0.0097738365,0.0061086477,-0.01282271,-2.5179988E-4,0.0061659147
32580630650935,-0.010995566,0.014660755,0.0036651888,-0.01282271,-2.5179988E-4,0.0061659147
32580633029789,-0.012217295,0.018325943,0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580635408643,-0.012217295,0.021991132,0.0024434591,-0.01282271,-2.5179988E-4,0.0061659147
32580637787445,-0.012217295,0.020769402,0.0012217296,-0.01282271,-2.5179988E-4,0.0061659147
32580640166299,-0.012217295,0.018325943,0.0036651888,-0.01282271,-2.5179988E-4,0.0061659147
32580642545153,-0.010995566,0.015882485,0.0048869182,-0.01282271,-2.5179988E-4,0.0061659147
32580644924007,-0.012217295,0.010995566,0.0073303776,-0.01282271,-2.5179988E-4,0.0061659147
32580647302862,-0.012217295,0.0061086477,0.0097738365,-0.01282271,-2.5179988E-4,0.0061659147
32580649681664,-0.012217295,0.0,0.013439025,-0.01282271,-2.5179988E-4,0.0061659147
32580652060518,-0.012217295,-0.0073303776,0.015882485,-0.01282271,-2.5179988E-4,0.0061659147
