run,dir,n_win,n_moving,mae_raw,mae,bias,rmse,nll,cov68,sig_mean,mae_slow,false_stops,stop_latency_s,c10_drift_pct,c10_end_m,c10_after_stop_m,c10_rmse_m,c30_drift_pct,c30_end_m,c30_after_stop_m,c30_rmse_m,c60_drift_pct,c60_end_m,c60_after_stop_m,c60_rmse_m,turn_drift_pct,turn_end_m,turn_after_stop_m,turn_rmse_m,fold,cfg,model,rate,win,split,aug,seed,params,epochs,val_nll
1,AB,1189,1031,0.21192001212324882,0.2194223157654106,-0.023718934386048152,0.2849712345636853,-0.7672102588553236,0.7458777885548011,0.31900235762275214,0.5690452174910321,0,0.4000000000000057,7.179498455528646,21.078080598033534,20.974783124906036,10.161479678457477,2.734643767354444,6.258966232693793,6.301688178840157,4.235501652597271,7.202439012880855,10.0670223025704,9.967218892353221,5.488193446223021,2.692919538826125,6.0446398439555615,6.088351869031988,4.153908010939989,0,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
2,BA,1011,936,0.15535266956633398,0.12322681684193655,-0.0012386838653518555,0.16020206445871138,-0.9283490998913495,0.8728632478632479,0.31900235762275214,0.3157264362896436,0,0.7000000000000028,2.4436073992221496,6.867056484366153,6.829901489532259,4.600339183702555,1.5458180753126012,3.243152997222194,3.4717416032935224,0.933990665656585,3.583019514826665,3.7047930485335128,3.9220864816743846,1.903070565544539,3.6383458580667027,3.6440477466339334,3.8617885615592935,1.8795480138682603,0,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
12,AB,754,680,0.3769454782318176,0.3657477836250253,-0.17476653923822147,0.6167591404022867,0.6728136323263512,0.6161764705882353,0.31900235762275214,1.2334619073833144,0,0.10000000000000853,3.709213844232793,10.371796448115921,10.41567248484666,8.834071449253807,3.9518139608078857,7.551529424950552,7.730435626803273,9.753714254307615,,,,,2.7796779829611533,6.296389456838459,6.5169596390207,8.189380384828757,0,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
13,BA,767,646,0.44252031619054283,0.5146391351036341,-0.22250512325914468,0.6312589006598468,0.8085339096302675,0.5108359133126935,0.3190023576227521,0.9660226622663172,0,2.200000000000003,0.2559305936941897,0.677298315544736,0.5699374941344496,10.93740794351002,9.36191585396303,13.37439316362164,13.436410765394124,5.7212459523574015,,,,,14.001172647595086,14.20027857690944,14.251450628899232,6.61994618208525,0,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
3,AB,1087,939,0.1739908903930357,0.1692899495016795,-0.0021727272447656463,0.24261387756729558,-0.4710740854800827,0.9488817891373802,0.5685226743950054,0.41813701866526604,0,0.5999999999999943,2.1824827962681006,6.230651887566659,6.069823902005346,2.0778645309692716,3.032599080387197,6.634458500384907,6.473882194098063,2.4720530635755895,5.41343207763296,5.715097616451442,5.562709883111698,2.5413847850669327,3.053231475612163,6.7191296880784845,6.558779510951629,2.505909736259204,1,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
4,BA,932,832,0.12045550875503325,0.13672455415142434,-0.028764357393868716,0.19598236990612966,-0.5277814709852311,0.9975961538461539,0.5685226743950053,0.595902286595651,0,0.7999999999999972,2.3980907936391493,6.595171885480597,6.5365265538675175,4.41334333180971,1.9487693785515163,3.7653704811290667,3.6941773682028636,1.66248650949253,5.107214552210686,4.110995981151923,4.062016067517531,1.4360492858825147,4.659388387702345,4.547181805121212,4.488884204984386,1.5889455523862546,1,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
14,AB,757,684,0.261022455011594,0.2731451170132874,-0.18944208035278642,0.34333450786833786,-0.3918825019012669,0.9210526315789473,0.5685226743950054,0.5772136935214494,0,0.10000000000000853,8.225839992507733,22.31873829075545,22.881769772737663,11.61629470529975,1.5330319468937774,2.626971034709287,3.641826640349719,3.224140333032568,,,,,1.4579074387417985,3.2646839867496644,4.206387580590282,3.4868933811738674,1,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
15,BA,834,733,0.2542475980964893,0.23490599292481376,-0.051230211200888616,0.2833932600524099,-0.3829074324170184,0.9140518417462483,0.5685226743950054,0.36615060745517575,0,0.10000000000000853,2.9142482098208293,7.815068556579864,7.982317644104577,6.258120604384026,4.626834876096037,7.788902930896114,7.973580770445516,5.422611120072201,8.840221605393353,3.6439846659496498,3.704433039800418,1.76904823855815,4.835480195745179,4.755964513866002,4.935214065650232,3.012298216132091,1,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
5,AB,1014,914,0.18998127844627338,0.1984217006680408,0.04383645891327763,0.2759648788235793,-0.9113971346548744,0.7614879649890591,0.2559800183859213,0.785747109334327,0,0.3999999999999915,4.023028819929412,11.34707738065134,11.078822886250812,3.1678414433221893,4.912927478193702,10.430941970004458,10.141669811250313,3.4241426411898925,9.452135487049622,9.850668637003798,9.593551714146031,3.4947227460171093,5.018705384168083,11.190715989683031,10.901406185526355,3.850874422665042,2,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
6,BA,946,854,0.152519643367672,0.14627758756240838,0.010246211443169163,0.20659713723071443,-1.049555366703686,0.8466042154566745,0.25598001838592127,0.7630538739283628,0,0.19999999999998863,1.4536047305704436,4.129467848768936,4.265347675665342,3.3348444794090657,3.6491352315890646,7.43163970447504,7.516408005222992,5.806068712874274,3.846685761164468,3.4866266523476352,3.5637414655228015,1.4375530857038135,2.6384717920575618,2.704443017529952,2.8406351978251143,2.014863660888937,2,gbr_r100_w256,gbr,100,256,gk5,1,0,2100,0,
