cfg,n,mae_med,mae_worst,bias_med,cov68_med,c30_med,c30_worst,c30_under10,c10_med,c10_under10,turn_med,turn_under10,after_stop_c30_med,false_stops,stop_lat_med,params,secs
gbr_r100_w256,20,0.24614991066028724,0.5146391351036341,-0.01772906629560208,0.8140896263018885,4.258953505280166,10.595264571272788,19,3.3101215755157387,20,4.747434291723762,19,7.623421816013133,0,0.20000000000000284,2100,67
cnn_r100_w256,20,0.1728251650929451,0.40421563386917114,-0.04092691093683243,0.648315444174907,3.0527872563962575,6.6096110091249125,20,2.328318428553575,20,4.365012453713648,20,6.00493369173291,0,0.20000000000000284,57602,1402
cnn_r200_w512,20,0.18878968805074692,0.3907700181007385,-0.0195090901106596,0.6414471107666557,3.706220460696252,6.49502027168418,20,2.44927565855199,20,4.750360956035823,20,6.934776260182712,0,0.20000000000000284,57602,1809
tcn_r100_w256,20,0.20011982321739197,0.3900602459907532,-0.012540741823613644,0.716319189375124,3.927685257308208,7.540030243736451,20,3.322936850221767,19,5.967885873544974,20,7.482415441663974,0,0.20000000000000284,55554,2157
cnn_r100_w128,20,0.1670355498790741,0.3976094722747803,-0.06066686660051346,0.7078179900909205,3.4726582394517367,6.593395181844789,20,2.6253587008889934,20,3.774132434121648,20,6.813512336128737,0,0.19999999999999574,57602,959
cnn_r50_w128,20,0.18263660371303558,0.3776475191116333,0.03813446685671806,0.6571412010201716,4.933580388577106,8.624135664623454,20,3.6358288044522613,20,6.2630022707870605,19,9.077155259772848,7,0.10000000000000853,57602,1046
cnngru_r100_w256,20,0.16762439906597137,0.4040508568286896,-0.0037251134344842285,0.7031033682343091,4.330585520017246,8.137486967928934,20,3.0284455705778575,20,5.037562173970331,19,8.636254926341422,0,0.20000000000000284,61794,1313
cnn_r100_w256_s1,20,0.1767415851354599,0.3184060752391815,0.021905485540628433,0.6885666649750284,4.96089208626623,9.448096595051018,20,3.507902255333017,20,4.908258895328803,19,9.033328582246684,0,0.20000000000000284,57602,1591
cnn_r100_w512,20,0.19064707309007645,0.35920482873916626,-0.008641449501737952,0.6252178659372423,4.1649269270937115,9.553391679748486,20,3.452020744870347,20,4.7379479049050595,18,8.196804079682348,0,0.2500000000000071,57602,2174
cnn_r100_w256_stophead,20,0.1679534912109375,0.44562315940856934,-0.052482111379504204,0.6828780547236817,3.6445966557722667,6.780169211844468,20,2.767854022242588,20,4.514699167163409,20,7.2251852041465,0,0.20000000000000284,57667,1695
cnn_r100_w256_noaug,20,0.168913371860981,0.4240715503692627,-0.0184082742780447,0.6463606888774627,3.493198417789668,8.858114493213423,20,2.271768395057978,20,5.010780179804339,18,6.927790192312534,0,0.20000000000000284,57602,1196
cnn_r100_w256_s2,20,0.17522580921649933,0.37611639499664307,0.008482900680974126,0.6666335973179618,4.319982368101655,7.479827769873457,20,3.134927316909526,20,4.703225477662879,20,8.140542604607216,0,0.20000000000000284,57602,1627
cnn_r100_w256_ens3,20,0.1605636958774111,0.3548878758123744,-0.01576774959809858,0.7768167365837736,3.788372002640248,6.775868835925139,20,2.6471951670412484,20,4.69822143839152,20,7.584591815416019,0,0.20000000000000284,0,0
cnn_r100_w256_w16,20,0.1716035157442093,0.3709851801395416,-0.01069182762876153,0.6975802323570008,3.961682389981128,6.818705526233281,20,2.8533540970263154,20,5.793602787502744,19,7.623904131643757,0,0.20000000000000284,16610,966
resnet_r100_w256,20,0.16674946248531342,0.37998104095458984,-0.0016986897389870137,0.6262279708310486,4.461322077908838,6.61151818669145,20,3.3998663078140865,20,4.3594739323138665,20,8.52399405371099,0,0.20000000000000284,180994,3647
cnnfeat_r100_w256,20,0.1931888833642006,0.3564920425415039,-0.029167957603931427,0.676567000151584,3.608550843838949,7.383376844559326,20,2.9335625354944304,20,4.491331714537662,19,7.821023024795808,0,0.20000000000000284,58818,916
cnn_r100_w256_loro,20,0.1616060957312584,0.30511048436164856,-0.010555922985076904,0.6308925811437404,4.074621095042506,7.569058615782381,20,2.9739941541697856,20,4.783534376110642,20,8.281028511463127,0,0.20000000000000284,57602,5850
gbr_r2loro,10,0.21241999895010102,0.4096970026746905,-0.051207734339217985,0.7985492176668647,3.1634487471329074,14.12400085413857,7,4.031025192939772,10,3.818818469084327,10,23.92817987362596,0,1.700000000000017,2100,198
gbr_joint,30,0.2706853285440082,0.6337023245038365,-0.025541322846615956,0.7364273059000606,3.8828068042762025,13.907336399859226,28,3.2119072703995597,29,4.353741545182051,28,8.683286504946857,0,1.1000000000000014,2100,204
gbr_lagfix,20,0.27957968409572687,0.5207386844351036,-0.03282298130936251,0.8180559974546611,4.067452752965303,10.397542377338132,19,2.973576822704202,20,4.073735260430721,19,7.8450320543206224,0,1.0499999999999972,2100,79
cnn_r100_w256_lagfix,20,0.1949729025363922,0.44551047682762146,-0.0098552571143955,0.5907344704746691,3.0423366787543396,6.856469208511512,20,2.3332517391329803,20,3.706555408097927,20,5.826178912494653,0,1.0499999999999972,57602,1449
cnn_r100_w256_joint,30,0.17796561121940613,0.40557661652565,-0.01714406255632639,0.6504021475797837,3.005561051500173,14.836054329186812,29,3.5054688738975113,30,4.280223430977577,29,8.816274583530447,0,1.1000000000000014,57602,2390
cnn_r100_w256_r2loro,10,0.17206748574972153,0.3158237338066101,0.015832760371267796,0.6520821572621882,2.8281445403918246,14.667612868785548,9,3.9276460097987282,10,3.5378477971408335,10,21.322660180828166,0,1.700000000000017,57602,2728
cnn_r100_w256_joint_r2loro,10,0.1658978834748268,0.29383188486099243,-0.02627189178019762,0.5825665067001787,3.612719913546522,15.150021307974104,9,4.600711216860331,10,3.367895152395406,10,27.536844815282826,0,1.700000000000017,57602,7269
