run,dir,n_train,speed_mae,speed_mae_moving,speed_bias_moving,v_mean,outage_m,outage_s,last_end_m,ml_end_m,ml_rmse_m,ml_drift_pct,last_drift_pct,ml_after_stop_m,last_after_stop_m,heading_err_deg
run1,AB,21295,0.212,0.268,-0.02,3.03,295.0,102.0,20.9,7.0,4.1,2.4,7.1,7.1,38.7,0.9
run2,BA,21465,0.132,0.15,0.006,3.31,284.0,86.0,30.3,17.8,8.4,6.3,10.7,18.5,82.5,-4.1
run3,AB,21404,0.15,0.18,-0.026,3.28,287.0,92.0,37.1,14.7,7.7,5.1,12.9,14.6,67.0,-2.8
run4,BA,21555,0.161,0.178,-0.058,3.69,277.0,77.0,31.5,15.7,6.2,5.7,11.4,15.8,89.6,-3.5
run5,AB,21479,0.173,0.191,0.012,3.4,283.0,84.0,23.7,17.0,7.3,6.0,8.4,17.1,75.6,-2.8
run6,BA,21545,0.151,0.171,-0.034,3.67,286.0,78.0,11.5,5.3,4.9,1.8,4.0,5.2,66.8,1.7
run7,AB,21486,0.181,0.217,0.015,3.43,288.0,83.0,13.5,12.1,5.2,4.2,4.7,12.8,62.6,-1.9
run9,BA,21495,0.17,0.196,0.025,3.44,287.0,83.0,31.4,15.0,5.9,5.2,10.9,14.7,58.1,-2.3
run10,AB,21735,0.284,0.358,-0.163,4.6,274.0,60.0,28.8,4.4,5.8,1.6,10.5,4.0,102.9,1.9
run11,BA,21793,0.21,0.272,-0.076,5.14,272.0,52.0,49.5,25.7,12.6,9.4,18.2,27.0,101.8,-7.3
run12,AB,21729,0.25,0.288,-0.049,4.65,282.0,60.0,13.6,10.2,3.6,3.6,4.8,11.8,78.5,0.2
run13,BA,21724,0.344,0.479,-0.128,4.88,270.0,60.0,116.2,32.6,15.4,12.1,43.1,32.5,210.8,-7.3
run14,AB,21717,0.256,0.326,-0.249,4.62,275.0,60.0,28.9,10.4,7.4,3.8,10.5,11.0,105.0,-2.2
run15,BA,21661,0.246,0.315,0.004,4.23,271.0,67.0,68.1,5.9,4.4,2.2,25.1,6.3,142.5,-3.8
run16,AB,21520,0.252,0.296,0.114,3.56,281.0,80.0,33.4,22.8,10.4,8.1,11.9,22.8,88.1,4.3
run17,BA,21584,0.189,0.235,0.039,3.89,280.0,73.0,65.5,47.3,24.2,16.9,23.4,47.8,129.1,-10.7
run18,AB,21655,0.198,0.25,-0.048,4.22,275.0,66.0,60.5,17.6,8.0,6.4,22.0,18.9,136.0,-0.3
run19,BA,21750,0.206,0.265,-0.117,4.75,265.0,58.0,105.9,28.1,12.8,10.6,40.0,28.0,196.5,-10.0
run20,AB,21639,0.198,0.248,-0.048,4.19,274.0,68.0,67.6,15.5,6.7,5.6,24.6,16.1,143.5,-2.6
run21,BA,21601,0.249,0.292,0.052,3.92,279.0,73.0,59.6,35.5,16.1,12.7,21.3,37.0,124.4,-8.1
