t_s,x_m,y_m,v,heading_deg,mode,sigma_pos,s_m,d_m,v_model,stop
0.000,NaN,NaN,0.0000,0.0000,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.100,NaN,NaN,0.0000,-0.0053,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.200,NaN,NaN,0.0000,-0.0077,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.300,NaN,NaN,0.0000,-0.0061,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.400,NaN,NaN,0.0000,-0.0199,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.500,NaN,NaN,0.0000,-0.0293,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.600,NaN,NaN,0.0000,-0.0436,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.700,NaN,NaN,0.0000,-0.0533,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.800,NaN,NaN,0.0000,-0.0075,GNSS_INS,NaN,NaN,NaN,0.0029,1
0.900,NaN,NaN,0.0000,-0.0618,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.000,NaN,NaN,0.0000,-0.0781,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.100,NaN,NaN,0.0000,-0.0612,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.200,NaN,NaN,0.0000,-0.1147,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.300,NaN,NaN,0.0000,-0.0893,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.400,NaN,NaN,0.0000,-0.0941,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.500,NaN,NaN,0.0000,-0.0853,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.600,NaN,NaN,0.0000,-0.1091,GNSS_INS,NaN,NaN,NaN,0.0029,1
1.700,-0.1776,0.0166,0.0000,-0.1742,GNSS_INS,2.3523,10.966,0.956,0.0029,1
1.800,-0.1776,0.0166,0.0000,-0.1755,GNSS_INS,2.3523,10.966,0.956,0.0029,1
1.900,-0.1776,0.0166,0.0000,-0.1898,GNSS_INS,2.3523,10.966,0.956,0.0029,1
