t_s,type,text
0.000,PHASE,"STAND"
0.000,CORRIDOR,"forced SNU_R2 s=11.0 d=1.0"
15.001,ALIGN,"stand g=9.868 pitch=2.33 roll=67.72 bias_dps=[0.007 0.004 0.022] quiet=true qfrac=0.93 rot=1.25deg"
15.001,PHASE,"RIDE"
36.071,MOTION_START,"v=1.44"
37.100,DIRECTION,"AB"
42.080,ALIGN,"psi=20.76 (init) pitch=2.33 roll=67.72 blocks=0 moved_at=NaN sway_ratio=NaN"
45.010,ALIGN,"psi=20.76 (init) pitch=1.05 roll=68.12 blocks=1 moved_at=NaN sway_ratio=NaN"
55.010,ALIGN,"psi=20.76 (init) pitch=1.04 roll=68.08 blocks=2 moved_at=NaN sway_ratio=NaN"
57.080,ALIGN,"psi=89.93 (sway) pitch=1.04 roll=68.08 blocks=2 moved_at=NaN sway_ratio=11.2"
57.100,ARMED,""
65.010,ALIGN,"psi=89.93 (sway) pitch=1.04 roll=68.01 blocks=3 moved_at=NaN sway_ratio=11.2"
66.078,SIM_ENTER,"armed=true"
66.100,MODE,"GNSS_INS->INERTIAL sim"
66.100,DISARMED,"gnss5s"
66.100,BAND_ENTER,""
67.080,ALIGN,"psi=89.28 (sway) pitch=1.04 roll=68.01 blocks=3 moved_at=NaN sway_ratio=17.1"
75.010,ALIGN,"psi=89.28 (sway) pitch=1.04 roll=67.88 blocks=4 moved_at=NaN sway_ratio=17.1"
77.080,ALIGN,"psi=89.96 (sway) pitch=1.04 roll=67.88 blocks=4 moved_at=NaN sway_ratio=21.9"
85.010,ALIGN,"psi=89.96 (sway) pitch=1.08 roll=67.87 blocks=5 moved_at=NaN sway_ratio=21.9"
87.080,ALIGN,"psi=89.77 (sway) pitch=1.08 roll=67.87 blocks=5 moved_at=NaN sway_ratio=23.9"
95.010,ALIGN,"psi=89.77 (sway) pitch=1.19 roll=67.80 blocks=6 moved_at=NaN sway_ratio=23.9"
97.080,ALIGN,"psi=90.18 (sway) pitch=1.19 roll=67.80 blocks=6 moved_at=NaN sway_ratio=20.4"
105.010,ALIGN,"psi=90.18 (sway) pitch=1.29 roll=67.66 blocks=7 moved_at=NaN sway_ratio=20.4"
107.080,ALIGN,"psi=90.09 (sway) pitch=1.29 roll=67.66 blocks=7 moved_at=NaN sway_ratio=22.5"
115.010,ALIGN,"psi=90.09 (sway) pitch=1.39 roll=67.60 blocks=8 moved_at=NaN sway_ratio=22.5"
117.080,ALIGN,"psi=90.15 (sway) pitch=1.39 roll=67.60 blocks=8 moved_at=NaN sway_ratio=23.4"
125.010,ALIGN,"psi=90.15 (sway) pitch=1.36 roll=67.62 blocks=9 moved_at=NaN sway_ratio=23.4"
127.080,ALIGN,"psi=90.06 (sway) pitch=1.36 roll=67.62 blocks=9 moved_at=NaN sway_ratio=26.0"
135.010,ALIGN,"psi=90.06 (sway) pitch=1.43 roll=67.54 blocks=10 moved_at=NaN sway_ratio=26.0"
137.080,ALIGN,"psi=90.54 (sway) pitch=1.43 roll=67.54 blocks=10 moved_at=NaN sway_ratio=20.8"
145.010,ALIGN,"psi=90.54 (sway) pitch=1.48 roll=67.53 blocks=11 moved_at=NaN sway_ratio=20.8"
147.080,ALIGN,"psi=90.93 (sway) pitch=1.48 roll=67.53 blocks=11 moved_at=NaN sway_ratio=21.6"
155.010,ALIGN,"psi=90.93 (sway) pitch=1.53 roll=67.50 blocks=12 moved_at=NaN sway_ratio=21.6"
157.080,ALIGN,"psi=90.92 (sway) pitch=1.53 roll=67.50 blocks=12 moved_at=NaN sway_ratio=22.0"
165.010,ALIGN,"psi=90.92 (sway) pitch=1.44 roll=67.46 blocks=13 moved_at=NaN sway_ratio=22.0"
167.080,ALIGN,"psi=90.98 (sway) pitch=1.44 roll=67.46 blocks=13 moved_at=NaN sway_ratio=22.3"
175.010,ALIGN,"psi=90.98 (sway) pitch=1.41 roll=67.43 blocks=14 moved_at=NaN sway_ratio=22.3"
177.080,ALIGN,"psi=90.53 (sway) pitch=1.41 roll=67.43 blocks=14 moved_at=NaN sway_ratio=15.6"
185.010,ALIGN,"psi=90.53 (sway) pitch=1.50 roll=67.46 blocks=15 moved_at=NaN sway_ratio=15.6"
187.080,ALIGN,"psi=90.46 (sway) pitch=1.50 roll=67.46 blocks=15 moved_at=NaN sway_ratio=13.3"
195.010,ALIGN,"psi=90.46 (sway) pitch=1.51 roll=67.46 blocks=16 moved_at=NaN sway_ratio=13.3"
197.080,ALIGN,"psi=90.87 (sway) pitch=1.51 roll=67.46 blocks=16 moved_at=NaN sway_ratio=12.4"
205.010,ALIGN,"psi=90.87 (sway) pitch=1.50 roll=67.48 blocks=17 moved_at=NaN sway_ratio=12.4"
207.080,ALIGN,"psi=90.70 (sway) pitch=1.50 roll=67.48 blocks=17 moved_at=NaN sway_ratio=12.5"
215.010,ALIGN,"psi=90.70 (sway) pitch=1.53 roll=67.57 blocks=18 moved_at=NaN sway_ratio=12.5"
217.080,ALIGN,"psi=91.10 (sway) pitch=1.53 roll=67.57 blocks=18 moved_at=NaN sway_ratio=12.2"
