t_s,lat,lon,x_m,y_m,v,heading_deg,mode,sim,k,sigma_pos,v_model,sigma_model,stop,tick_ms,model_ms,corridor_id,s_m,d_m
0.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.002,0.000,,,
0.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.700,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.800,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
0.900,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.000,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.100,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.200,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.300,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.400,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.500,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.600,,,,,0.000,0.000,GNSS_INS,0,1.0000,,0.000,0.050,1,0.000,0.000,,,
1.700,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.003,0.000,SNU_R2,10.97,0.96
1.800,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
1.900,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.000,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.100,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.200,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.300,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.400,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.500,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.050,1,0.000,0.000,SNU_R2,10.97,0.96
2.600,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.177,1,0.353,0.352,SNU_R2,10.97,0.96
2.700,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.179,1,0.341,0.341,SNU_R2,10.97,0.96
2.800,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.174,1,0.333,0.332,SNU_R2,10.97,0.96
2.900,28.52595362,77.57062272,-0.176,0.019,0.000,0.000,GNSS_INS,0,1.0000,2.352,0.000,0.166,1,0.333,0.333,SNU_R2,10.97,0.96
